都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,ユーゴスラヴィア,アルメニア,アゼルバイジャン,グルジア,スロベニア,スロバキア,"ボスニア・
ヘルツェゴビナ","セルビア・
モンテネグロ",セルビア,モンテネグロ,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジプチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,南スーダン,スワジランド,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,"セントクリストファー・
ネーヴィス","トリニダード・
トバゴ",米国,グレナダ,"アンティグア・
バーブーダ",南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2033656,1638417,1609,57,8046,13,54,8622,41,2862,8428,652595,22775,19,34,21654,25532,3997,78,499,147,530048,25,2521,88,7848,4837,29,41,24071,10599,202985,17,716,261,2136,40133,2529,52367,46,58,56894,61,495,655,393,271,121,270,472,96,620,8455,5223,215,507,65,1072,2629,227,200,6,28,75,186,1,13,144,32,917,366,1007,407,2185,7295,1,1822,1677,937,37,70,14653,1452,938,1,34,55,36,65,200,29,24,134,11,9,10880,162,10,31,328,7,3,30,275,1,2,41,7,327,31,20,1729,258,22,2,104,503,21,35,75,114,14,390,50,64,39,17,2377,6,38,348,44,5,196,4,3,4,326,28,300,404,542,1309,30,83,94,27,61066,21,11,10,9006,153,210,396,9,106,101,20,131,391,1935,70,42,8,7,1,71,48361,1,5,253243,2726,5285,190609,607,2253,212,8,1878,49255,6,101,303,12536,8889,181,7,11,39,3109,3,48,35,31,113,9,4,57,620
01,22027,17901,62,0,35,0,1,111,1,14,55,9331,256,0,0,136,206,18,7,5,5,5148,1,15,1,140,129,0,2,295,109,1229,0,2,7,25,283,12,260,0,0,1526,0,18,11,5,3,6,5,5,1,21,111,95,3,11,5,50,29,6,15,0,1,1,11,0,1,1,0,9,11,47,7,21,506,0,24,18,27,0,0,388,27,15,0,1,2,1,1,4,1,1,0,0,0,275,0,0,0,4,1,0,0,1,0,0,2,0,11,7,0,11,7,0,1,7,12,0,1,11,1,1,6,2,8,0,0,17,0,2,10,0,0,4,0,0,0,8,1,1,15,22,89,2,8,2,0,1366,1,0,0,294,4,9,1,0,2,3,0,3,9,21,1,1,0,0,0,1,1016,0,0,231,9,11,128,11,13,1,2,13,38,0,2,3,722,533,2,0,0,0,181,0,0,0,1,1,0,1,3,6
02,3930,3342,4,0,1,0,0,6,0,2,1,1363,23,0,0,30,83,4,0,0,0,980,0,1,0,40,6,0,0,39,39,528,0,0,0,2,89,2,99,0,0,128,0,0,0,0,0,0,0,1,0,0,20,10,0,2,0,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,26,25,0,6,1,0,0,0,27,2,0,0,0,0,0,0,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,361,0,0,0,33,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,321,0,0,47,2,0,33,1,5,0,0,0,6,0,0,0,34,15,0,0,0,0,18,0,0,0,1,0,0,0,0,1
03,5372,4884,30,0,1,0,0,12,0,0,2,2387,63,0,0,26,147,1,0,0,0,1024,0,7,0,29,21,0,0,27,36,871,0,0,0,5,49,0,146,0,0,121,0,0,1,0,0,0,0,1,0,0,7,12,0,0,2,4,2,0,0,0,0,0,1,0,0,0,0,2,0,8,0,9,17,0,1,0,5,0,0,45,4,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,3,0,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,3,0,0,12,0,0,0,0,222,1,0,0,35,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,173,0,0,70,1,0,54,1,4,1,0,3,6,0,0,0,44,30,1,0,0,0,11,0,0,0,1,1,0,0,0,1
04,14214,12478,7,0,10,1,1,120,1,11,59,5461,179,0,0,141,269,53,0,4,3,3989,1,4,0,90,99,1,1,156,145,969,0,3,0,13,256,40,382,8,1,556,1,1,4,3,4,1,9,7,5,22,61,58,1,6,3,13,13,2,0,0,0,1,1,0,0,0,0,6,0,16,0,21,102,0,5,30,4,2,0,120,12,9,0,1,1,0,0,9,1,0,0,0,1,113,1,0,0,5,0,0,1,7,0,0,0,0,4,0,0,14,1,0,0,1,6,0,4,3,1,0,4,0,0,1,0,9,0,0,1,0,0,1,0,0,0,1,0,3,1,15,19,0,9,1,0,729,1,1,0,128,1,6,1,0,1,0,1,3,18,27,2,0,1,0,0,2,536,0,0,229,6,11,145,6,13,3,0,2,37,0,0,6,100,73,0,1,0,0,21,0,0,0,3,1,0,0,1,9
05,3702,3241,4,0,3,0,0,4,0,0,2,1608,31,0,0,10,36,2,0,3,0,695,0,3,0,54,19,0,0,44,12,596,0,0,0,3,57,1,54,0,0,139,0,0,0,1,1,1,2,2,0,3,9,11,1,1,0,5,4,0,1,0,0,0,3,0,1,0,2,2,2,3,3,10,19,0,4,2,1,0,0,39,5,0,0,0,0,0,0,1,0,0,0,0,0,31,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,7,1,0,207,0,0,0,26,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,173,0,0,24,1,0,13,2,2,0,0,0,4,0,2,0,59,20,7,0,0,0,19,0,5,0,2,6,0,0,0,1
06,6214,5795,0,0,21,0,0,10,1,2,6,2666,50,0,0,13,64,2,1,2,0,1859,0,3,0,60,8,0,0,33,15,668,0,0,0,9,84,5,211,0,2,105,0,1,1,0,0,0,0,2,1,0,6,6,2,7,0,11,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,12,0,1,1,0,0,0,41,2,0,0,0,0,0,0,2,0,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,2,0,1,0,0,161,0,0,0,29,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,127,0,0,100,7,2,80,1,0,0,0,2,7,0,0,1,33,17,0,0,0,0,15,0,0,0,0,0,0,0,1,1
07,9259,8294,6,0,33,0,0,14,1,3,22,3533,51,0,0,60,71,6,0,4,0,1768,0,8,1,33,38,0,1,85,69,2057,0,1,0,5,246,1,177,0,0,217,0,0,0,3,2,0,1,1,0,3,10,12,0,2,1,4,4,0,0,0,0,0,0,0,0,1,0,2,1,7,1,7,46,0,1,0,2,0,0,85,16,4,0,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,1,0,6,0,2,6,0,0,0,0,366,1,0,0,86,1,0,0,0,2,0,0,0,6,9,0,0,0,0,0,1,260,0,0,248,7,4,187,1,3,2,0,8,36,0,0,0,92,59,5,0,0,0,26,0,0,0,0,2,0,0,0,2
08,50562,39478,93,0,91,0,1,331,0,111,838,14255,635,1,1,635,1880,183,7,11,3,5262,1,233,5,179,120,0,1,382,769,7900,0,2,9,31,4188,27,1287,0,6,956,1,5,10,5,11,1,7,5,3,5,82,69,7,24,0,19,31,11,19,0,0,4,5,0,2,5,0,18,3,33,9,35,168,0,29,6,12,2,13,204,29,26,0,1,3,3,10,8,1,1,10,0,1,305,2,0,0,17,0,0,0,1,0,0,3,0,13,3,0,25,5,0,0,2,20,0,1,0,3,1,4,5,0,0,0,55,0,0,2,0,0,4,0,0,0,1,1,31,36,13,48,1,3,4,1,926,0,0,0,154,3,1,12,0,0,6,0,3,4,59,7,0,0,0,0,2,675,0,0,8737,50,91,6780,20,63,2,0,18,1698,0,1,14,150,97,7,0,0,1,35,0,4,0,2,2,0,0,2,10
09,30087,19927,30,0,110,0,0,238,0,23,354,7264,596,0,0,331,389,133,1,4,0,2863,0,26,1,136,80,0,0,414,494,3698,0,17,7,14,1650,8,1046,0,0,379,2,14,4,1,1,1,2,4,7,0,32,31,0,5,0,11,14,4,0,0,0,0,7,0,0,1,0,7,0,6,1,40,49,0,6,6,1,0,0,115,4,3,0,0,0,0,0,0,0,0,0,0,0,95,1,0,0,8,0,0,0,10,0,0,0,0,3,0,2,6,7,0,0,0,5,0,0,4,2,3,6,1,0,0,1,22,0,0,2,1,0,0,0,0,0,1,1,1,2,4,1,0,0,1,0,592,0,0,0,80,2,3,3,0,1,3,0,4,1,19,0,0,0,0,0,1,475,0,0,9007,123,324,4996,6,39,1,0,74,3434,0,0,10,79,50,5,0,0,0,23,0,0,0,0,0,0,1,0,8
