都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,グルジア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,セルビア,モンテネグロ,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2066445,1676343,1901,69,8600,17,59,8824,46,3085,9193,649078,33324,25,34,22526,27214,3971,64,486,131,519740,33,2564,98,7971,5180,31,46,31537,11124,209183,13,963,332,2228,41208,3085,72256,51,53,59248,64,499,625,373,276,110,287,523,106,618,8877,5547,234,528,63,1039,2919,246,221,7,32,75,198,1,12,148,34,953,416,1087,426,2210,7513,2,2057,1727,966,26,81,14881,1477,1106,42,62,42,75,213,27,23,152,14,8,11548,159,14,27,414,6,1,24,295,2,1,41,6,322,22,22,1834,276,34,3,106,517,25,47,78,122,12,391,55,59,43,18,2453,7,46,361,44,6,204,3,5,343,28,317,433,551,1538,31,63,102,26,11,62749,17,14,12,9025,153,214,395,10,112,104,25,136,417,1927,72,45,7,5,1,69,49981,1,7,243246,2666,5315,181317,618,2242,206,9,1849,48598,6,98,322,12694,9016,201,6,12,40,3109,3,55,32,35,122,3,3,57,617
01,22629,18237,76,0,35,0,1,114,1,11,60,9176,418,0,0,140,221,14,0,6,6,5080,0,13,1,157,125,0,3,348,136,1278,0,2,7,31,326,14,436,0,1,1666,1,16,14,8,3,4,6,8,0,23,120,100,3,14,1,46,35,5,18,0,1,1,10,0,1,0,0,9,12,37,6,23,511,0,42,17,30,1,0,487,24,14,1,3,1,2,6,1,1,0,0,0,258,0,0,0,3,1,0,0,1,0,0,1,0,14,1,0,10,7,0,0,7,9,0,1,12,1,1,5,3,3,0,0,12,0,1,10,0,0,4,0,0,8,1,1,15,21,95,1,7,2,0,0,1422,1,0,0,302,3,7,1,0,2,3,0,4,11,19,2,2,0,0,0,2,1063,0,0,227,9,6,134,12,12,1,2,12,35,0,2,2,813,595,1,0,0,0,210,0,1,0,1,1,0,1,3,6
02,3975,3352,6,0,2,0,0,10,0,1,1,1310,35,0,0,29,99,1,0,0,0,958,0,2,0,41,5,0,0,45,43,534,0,0,0,2,93,2,133,0,0,140,0,0,0,0,0,0,0,1,0,0,21,9,4,5,0,2,5,0,0,0,0,1,0,0,0,0,0,1,0,1,0,26,27,0,8,1,0,0,0,25,2,0,0,0,0,0,1,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,1,0,4,1,0,0,0,1,0,390,0,0,0,35,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,347,0,0,33,1,0,22,2,2,0,0,1,5,0,0,0,35,17,0,0,0,0,17,0,0,0,1,0,0,0,0,1
03,5505,5013,20,0,1,0,0,14,0,0,2,2466,58,0,0,19,154,2,0,0,0,1039,0,7,0,16,20,0,0,25,33,899,0,0,0,5,58,0,175,0,0,132,0,1,2,1,0,0,0,1,0,0,9,19,0,1,2,4,4,0,0,0,0,0,1,0,0,0,0,1,0,8,0,9,15,0,1,0,5,0,0,43,4,0,0,0,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,15,0,0,0,0,0,228,1,0,0,30,0,0,0,0,0,0,0,1,4,6,0,0,0,0,0,0,186,0,0,57,2,0,41,1,4,1,0,3,5,0,0,0,44,28,0,0,0,0,13,0,0,0,1,2,0,0,0,1
04,15247,13337,16,0,8,1,1,132,1,11,51,5591,230,0,0,148,365,51,0,4,4,3920,1,2,0,80,81,2,2,278,164,1024,1,5,3,23,296,39,796,5,1,559,1,2,2,2,3,1,9,2,5,17,71,52,3,5,3,10,19,2,0,0,1,2,3,0,0,0,0,8,2,21,1,21,97,0,10,23,6,1,0,121,11,11,1,2,0,0,5,1,0,1,0,1,123,5,0,0,10,0,0,1,8,0,0,1,0,5,1,0,12,2,0,0,2,6,0,8,3,1,0,5,0,0,1,0,12,0,0,3,0,0,1,0,0,1,0,3,1,15,14,0,2,0,0,0,866,0,1,0,127,2,7,2,0,1,1,1,2,17,28,3,1,1,0,0,3,669,0,0,245,6,9,153,7,11,3,0,5,41,0,0,10,106,74,1,1,0,0,24,0,1,0,3,1,0,0,1,11
05,3714,3192,4,0,3,0,1,6,3,1,2,1543,34,0,0,11,38,2,0,2,0,666,0,2,0,52,29,0,0,51,22,598,0,0,0,4,61,0,57,0,0,164,0,0,0,1,2,1,2,1,0,6,12,13,1,0,0,4,5,0,0,0,0,2,3,0,0,0,0,1,12,3,2,11,25,0,2,2,1,0,0,44,5,0,0,0,0,0,3,0,0,0,0,0,30,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,11,1,0,1,0,0,251,0,0,0,32,0,0,0,0,0,2,0,0,2,8,0,0,0,0,0,0,207,0,0,20,1,0,12,1,1,0,0,0,5,0,0,0,56,21,7,0,0,0,16,0,6,0,0,6,0,0,0,1
06,6182,5758,0,0,14,0,0,11,6,2,7,2617,67,0,0,22,75,2,1,2,0,1804,0,4,0,56,9,0,0,36,15,669,0,0,0,8,81,6,242,0,2,108,0,1,1,0,0,0,0,3,2,1,5,7,2,6,0,14,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,12,0,0,1,0,0,0,40,2,0,0,0,0,0,2,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,163,0,0,0,29,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,129,0,0,108,6,5,81,1,0,0,0,2,12,0,0,1,27,16,0,0,0,0,10,0,0,0,0,0,0,0,1,1
07,9726,8755,14,0,51,0,0,18,1,5,24,3643,76,0,0,82,91,6,0,2,0,1741,0,6,1,31,45,0,1,175,71,2156,0,1,5,4,277,1,227,0,0,222,0,0,0,2,0,0,1,0,1,2,9,13,0,2,1,8,3,1,0,0,0,0,1,0,0,1,0,2,1,7,0,6,47,0,4,0,3,0,0,86,16,4,0,0,0,0,1,0,0,0,0,0,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,1,0,6,0,4,6,0,0,0,0,0,372,1,0,0,86,1,1,0,0,2,0,0,0,9,9,0,0,0,0,0,2,261,0,0,245,5,3,191,1,4,2,0,6,33,0,0,0,88,58,5,0,0,0,22,0,0,0,0,3,0,0,0,2
08,51107,40410,106,0,106,0,1,352,1,98,920,13647,1017,1,1,662,2211,192,8,11,3,5122,1,251,5,190,123,2,2,448,866,7993,0,16,9,34,4282,53,1673,0,3,1010,0,6,10,4,17,5,11,5,5,6,81,80,7,25,0,16,34,10,24,0,0,1,7,0,2,4,0,17,3,34,10,30,172,1,34,10,10,1,20,206,36,30,1,2,3,9,7,1,1,11,0,1,338,4,1,0,14,0,0,0,1,0,0,1,0,11,2,0,29,5,1,0,2,18,1,1,1,3,0,7,3,0,1,1,61,0,1,4,0,0,7,0,0,1,0,32,37,14,57,1,3,12,1,0,967,0,0,0,154,3,2,9,0,2,6,3,3,7,55,8,0,0,0,0,1,713,0,1,8202,53,101,6281,17,58,1,0,20,1656,0,1,14,169,107,14,0,0,1,36,0,3,0,2,4,0,0,2,11
09,30727,20908,30,0,127,0,0,270,0,13,412,7184,838,0,0,384,423,134,4,4,0,2821,0,28,0,143,93,0,0,746,488,3820,0,14,7,12,1646,17,1250,0,0,381,2,10,3,0,1,0,0,6,6,0,36,24,1,3,0,11,14,4,1,0,0,0,8,0,0,1,0,8,0,4,1,44,50,0,7,7,1,0,0,113,5,7,1,0,0,0,2,0,0,0,0,0,100,1,0,0,11,0,0,0,12,0,0,0,0,3,0,1,8,9,0,0,0,6,0,0,4,2,0,3,1,0,0,1,21,0,0,1,1,0,0,0,0,1,1,1,2,4,4,0,1,1,0,0,575,0,1,0,76,2,2,3,0,1,3,0,4,3,23,0,0,0,0,0,1,456,0,0,8675,121,334,4739,5,37,3,0,77,3349,0,0,10,80,54,4,0,0,0,20,0,0,0,0,0,0,1,1,8
10,42171,23323,31,0,239,0,1,437,0,25,250,7381,243,0,0,219,736,176,0,3,1,2805,0,11,2,111,76,0,0,624,678,5787,0,1,0,18,838,127,2502,1,0,433,1,4,2,1,1,0,4,3,0,1,30,20,1,4,0,16,12,0,0,0,0,0,1,0,0,2,0,1,0,12,2,81,63,0,11,1,3,0,2,121,9,15,0,4,0,3,1,0,0,1,0,0,110,4,2,0,10,0,0,0,4,0,0,0,0,5,0,0,10,13,0,0,2,10,0,0,0,5,0,4,0,0,0,0,16,0,1,0,0,0,3,0,0,2,0,5,3,6,4,0,0,1,0,0,602,0,0,0,69,4,0,13,0,3,2,0,1,4,25,1,1,0,0,0,1,478,0,0,17559,182,423,11982,42,51,3,0,172,4695,0,6,3,132,71,0,0,0,0,49,1,1,0,0,9,0,0,1,12
11,123294,104318,88,0,424,0,7,1215,2,100,524,49261,1981,0,0,990,1214,468,6,18,15,17602,1,56,5,497,406,0,3,1584,1843,16558,0,87,12,85,2646,554,6060,4,2,2358,0,15,13,7,17,2,9,9,3,15,248,183,15,33,0,29,99,9,9,0,0,3,8,0,0,13,2,21,10,78,20,106,384,0,65,61,21,2,4,611,86,105,8,7,1,9,8,3,1,4,1,1,1373,6,0,0,105,1,0,1,42,0,0,6,1,36,5,0,341,49,13,1,2,33,1,1,2,24,0,26,2,3,0,1,442,0,0,51,5,1,18,0,0,6,6,27,34,14,53,0,3,4,7,0,2334,0,1,3,345,9,13,26,0,9,4,0,10,14,94,2,5,0,0,0,3,1796,0,0,12447,172,168,7884,51,177,13,0,199,3763,0,7,13,424,271,8,0,1,3,120,0,1,4,1,8,0,0,7,40
12,108848,94645,613,5,365,0,3,617,0,73,1411,41265,2233,1,0,1246,1311,427,7,12,9,16443,1,55,3,559,704,0,2,2026,794,15801,0,2,24,120,4967,56,3480,7,3,2598,8,24,15,15,16,2,18,12,3,43,228,161,5,32,2,38,75,18,11,2,1,4,15,0,0,10,0,30,37,48,31,95,482,0,86,56,38,1,0,735,86,89,0,1,2,4,12,0,1,6,0,0,948,5,0,0,49,0,0,1,18,1,0,0,0,15,1,1,238,13,0,0,7,49,8,10,4,3,0,12,2,4,2,1,256,0,1,14,3,1,35,0,0,35,4,10,71,22,42,0,1,6,3,0,2797,0,0,1,419,12,12,16,1,10,6,1,18,36,226,4,2,1,0,0,3,2028,0,1,7256,117,169,3690,85,244,5,0,88,2840,0,5,13,574,377,25,0,0,0,149,0,2,3,1,7,0,0,10,30
13,407067,351215,146,35,5046,6,6,2634,17,259,1084,155975,11306,7,1,8646,2722,1031,18,217,23,98966,16,215,39,2068,1353,4,11,10886,1097,28545,3,415,48,943,7133,597,9676,12,9,22874,9,222,257,139,81,34,99,252,37,223,4851,2276,74,148,27,379,1353,50,63,2,14,29,68,1,7,37,12,368,135,327,137,515,2117,0,770,932,387,5,9,5528,363,370,11,13,11,17,48,8,6,49,3,1,2634,46,3,4,94,2,0,3,62,0,0,13,4,116,4,4,501,113,4,1,38,103,8,8,13,37,3,135,13,12,14,3,508,1,9,87,19,4,37,0,3,55,6,113,69,110,210,7,11,19,2,3,20079,1,2,2,2808,29,83,45,6,22,25,6,26,55,428,9,11,1,2,0,11,16506,0,1,6309,253,121,3163,117,523,33,0,78,1923,1,16,81,3846,2933,44,0,3,5,816,1,5,6,8,17,1,0,7,110
14,165573,133394,31,16,394,0,12,748,0,1586,1435,53675,3342,3,11,3597,1672,533,6,28,9,30859,8,1227,6,967,545,9,3,1852,970,18263,2,194,23,245,3707,173,7236,2,5,5872,2,52,59,33,22,11,29,45,9,48,732,792,28,54,7,95,231,19,21,1,5,5,14,0,0,19,1,127,31,124,45,201,740,1,193,166,116,9,5,1489,166,86,2,7,3,2,14,2,3,6,0,0,1494,25,0,0,36,0,0,2,37,1,0,6,0,23,0,2,313,23,2,0,19,48,1,3,9,21,0,44,7,10,7,1,428,0,14,100,1,0,8,0,0,108,3,27,29,37,71,6,8,13,1,0,6169,1,2,1,754,32,17,162,2,14,12,3,10,37,188,12,4,0,2,1,6,4909,0,0,17576,687,794,8743,37,283,53,1,230,6703,0,7,38,972,730,17,0,0,9,204,0,2,3,2,2,0,0,3,96
15,13256,11659,40,0,67,0,1,64,3,9,182,5167,158,0,4,62,261,16,0,2,2,2067,0,15,0,131,102,0,0,135,262,2089,0,3,3,17,385,4,405,2,1,564,4,2,4,3,1,0,1,2,0,2,35,39,0,1,0,2,23,21,5,0,0,0,1,0,0,0,0,5,1,3,0,18,222,0,14,4,5,0,15,84,9,32,0,2,0,1,1,0,0,2,0,0,61,0,0,0,3,0,0,0,0,0,0,0,0,0,1,2,17,0,1,0,2,5,0,0,0,1,1,0,0,0,0,0,8,0,0,2,2,0,0,0,0,0,1,1,2,4,7,0,0,1,0,0,454,0,0,0,64,7,1,1,0,1,2,0,1,9,36,0,1,0,0,0,1,330,0,0,403,8,3,300,1,5,1,0,1,74,0,0,10,109,78,1,0,0,2,27,0,1,0,0,0,0,0,0,6
