都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,グルジア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,セルビア,モンテネグロ,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2086603,1697800,1937,64,9231,16,58,9096,50,3436,9920,648734,36965,30,43,23411,28649,3964,72,498,133,508561,36,2554,99,8115,5456,26,43,36107,11481,213923,14,1033,370,2347,42270,3444,85499,61,54,60614,64,502,655,373,279,111,303,485,114,631,9350,5573,248,525,57,1042,3099,245,226,6,38,80,198,1,16,144,30,1003,378,1083,441,2225,7668,1,2208,1806,1000,27,82,14919,1531,1184,44,65,36,79,217,27,6,170,9,10,11969,160,13,28,443,10,1,19,303,5,1,41,7,331,24,17,1877,288,36,2,111,532,32,59,3,83,129,7,397,55,60,50,18,2484,8,44,388,43,8,190,4,3,339,27,339,465,561,1685,36,70,97,25,11,63495,18,13,13,9086,157,224,418,11,114,107,22,131,438,2021,74,46,7,5,2,63,50515,1,9,239572,2674,5309,177953,619,2260,198,9,1840,48263,6,103,338,12554,8940,202,7,11,39,3044,3,57,32,34,118,2,3,62,599
01,23144,19089,62,0,39,0,0,119,0,13,58,9909,472,1,0,151,204,14,0,4,5,4904,0,19,1,154,138,0,2,393,134,1296,0,5,7,31,374,10,568,0,2,1562,1,15,13,7,3,4,8,4,0,21,128,92,3,21,1,51,34,5,18,0,2,1,10,0,1,0,0,11,7,41,5,25,502,0,38,18,31,1,0,390,21,13,1,5,1,1,6,1,1,0,0,0,277,0,0,1,4,1,0,0,1,0,0,1,0,11,2,0,10,8,0,0,7,9,0,1,0,13,1,1,5,2,3,1,0,10,0,1,10,0,0,4,0,0,7,1,1,14,19,110,3,13,2,0,0,1387,1,0,0,289,4,10,1,0,2,3,0,4,11,23,2,2,0,0,0,2,1033,0,0,224,6,7,131,12,12,1,1,19,31,0,2,2,596,425,1,0,0,0,163,0,1,0,2,1,0,0,3,9
02,4042,3418,7,0,2,0,0,10,0,1,1,1325,38,0,0,24,98,1,0,0,0,916,0,3,0,45,6,0,0,87,47,539,0,0,0,2,99,2,165,0,0,141,0,0,0,0,0,0,0,1,0,0,18,8,4,4,0,2,7,0,0,0,0,1,0,0,0,0,0,1,0,1,0,24,25,0,13,1,0,0,0,27,3,0,0,0,0,0,1,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,3,2,0,0,0,0,0,391,0,0,0,32,0,0,0,0,1,0,0,0,5,3,0,0,0,0,0,0,350,0,0,36,1,0,23,2,3,0,0,1,5,0,0,1,34,18,0,0,0,0,15,0,0,0,1,0,0,0,0,1
03,5524,5032,19,0,7,0,0,14,0,1,4,2451,59,0,0,22,156,3,0,0,0,978,0,7,0,18,21,0,0,36,42,878,0,0,0,4,63,0,249,0,0,126,0,1,1,1,0,0,0,1,0,0,8,20,0,1,2,4,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,11,16,0,1,2,5,0,0,40,4,0,0,0,1,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,4,0,0,19,0,0,0,0,0,227,1,0,0,29,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,0,187,0,0,61,2,0,44,1,4,1,0,4,5,0,0,0,41,25,0,0,0,0,15,0,0,0,0,1,0,0,0,1
04,15446,13522,21,0,8,1,1,123,1,11,52,5659,242,1,0,132,383,49,0,3,2,3811,1,4,0,88,72,1,2,372,170,1076,0,2,3,26,258,41,900,5,1,566,0,1,1,2,2,1,9,2,3,12,76,57,3,6,2,9,20,2,0,0,1,3,3,0,0,0,0,7,2,18,1,16,105,0,9,25,6,2,0,134,10,7,1,0,0,0,6,1,0,0,0,1,130,5,0,1,4,0,0,1,9,0,0,1,0,3,1,0,13,2,0,0,1,5,0,9,0,3,1,0,7,0,0,2,0,11,0,0,3,0,0,1,0,0,1,0,4,4,15,22,0,1,0,0,0,879,0,1,0,131,2,7,1,0,1,1,1,2,18,27,3,1,1,0,0,4,678,0,0,241,6,9,154,7,10,3,0,2,40,0,0,10,97,67,2,1,0,0,23,0,0,0,3,0,0,0,1,11
05,3693,3154,2,0,3,0,0,5,5,1,2,1481,45,0,0,12,33,2,0,2,0,668,0,1,0,51,37,0,0,46,26,610,0,0,0,3,63,0,56,0,0,183,0,0,0,1,0,1,2,9,0,8,20,13,2,0,0,5,6,0,0,0,0,1,2,0,0,0,0,5,4,3,2,11,24,0,3,9,0,0,0,45,5,0,0,0,0,0,2,0,0,0,0,0,27,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,6,1,0,1,0,0,247,0,0,0,34,0,0,0,0,0,2,0,0,2,6,0,0,0,0,0,0,203,0,0,17,0,0,9,1,1,0,0,0,5,0,0,1,64,28,7,0,0,0,16,0,7,0,0,6,0,0,0,1
06,6111,5697,0,0,11,0,0,17,4,0,5,2577,77,0,0,17,72,4,1,2,0,1757,0,4,0,48,10,0,0,38,24,675,0,0,0,8,88,5,251,0,2,111,0,2,1,0,0,0,0,2,2,0,9,6,2,7,0,13,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,5,10,0,1,0,0,0,0,43,1,0,0,0,0,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,159,0,0,0,32,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,122,0,0,101,5,5,77,1,0,0,0,1,11,0,0,1,27,15,0,0,0,0,11,0,0,0,0,0,0,0,1,1
07,9879,8890,15,0,49,0,0,18,1,7,25,3672,95,0,0,78,100,6,0,2,0,1707,0,6,1,35,46,0,1,202,75,2149,0,1,6,5,292,1,295,0,0,219,0,0,0,2,0,0,1,0,1,1,9,13,0,2,1,7,5,1,0,0,0,0,1,0,0,0,0,2,1,7,1,6,48,0,4,0,3,0,0,77,20,4,0,0,0,1,1,0,0,0,0,0,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,1,0,7,0,4,6,0,0,1,0,0,375,1,0,0,85,1,1,0,0,2,0,0,0,10,8,0,0,0,0,0,2,265,0,0,259,4,2,198,1,6,2,0,7,39,0,0,0,88,56,5,0,0,0,24,0,0,0,0,3,0,0,0,2
08,51450,40940,126,1,135,0,1,387,1,110,1001,13287,1075,1,3,714,2331,193,15,6,5,4997,1,242,5,191,114,2,2,586,926,8006,0,14,9,34,4340,44,2032,1,2,1022,0,5,11,5,12,7,10,4,5,7,92,92,10,21,1,17,31,10,18,0,0,3,6,0,2,4,0,16,3,31,5,30,177,0,37,12,11,2,18,197,33,35,1,2,3,13,10,1,0,11,0,1,386,3,0,0,17,0,0,0,1,0,0,1,0,14,2,0,31,5,2,0,2,23,1,1,0,0,3,0,7,3,0,3,1,69,1,1,5,1,0,9,0,0,4,0,26,40,15,75,4,6,8,1,1,950,0,0,0,154,4,1,6,0,2,6,3,4,6,53,7,0,0,0,0,1,699,0,4,7967,50,100,6048,19,57,1,0,18,1663,0,1,10,174,113,14,0,0,2,30,0,5,0,2,6,0,0,2,11
09,31562,21866,27,0,178,0,0,292,0,12,492,7067,893,0,2,440,416,140,5,4,0,2768,0,26,1,140,101,0,0,1121,537,3863,0,6,7,11,1717,37,1563,0,0,391,1,10,2,0,1,0,0,4,6,0,29,26,1,2,0,12,16,4,2,0,0,0,7,0,0,1,0,10,0,4,1,41,55,0,7,7,0,0,0,123,5,9,2,0,0,0,2,1,0,0,0,0,141,1,0,0,19,0,0,0,13,0,0,0,0,5,0,1,14,13,0,0,1,6,3,0,0,4,2,0,3,2,0,0,1,32,0,1,3,1,0,0,0,0,1,0,1,3,4,5,1,0,1,0,0,594,0,1,0,80,3,3,4,0,1,3,0,4,3,21,0,0,0,0,0,1,470,0,0,8477,125,347,4557,4,39,1,0,85,3307,0,0,12,86,58,6,0,0,0,18,0,0,0,1,0,0,1,2,7
