都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,グルジア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2121831,1731896,2154,80,10252,22,61,9641,42,4090,10741,654777,40197,35,37,24524,30210,3976,78,498,144,501230,31,2556,105,8288,5796,25,42,42346,11802,217585,21,1028,409,2366,43081,3654,99865,65,42,62752,64,513,679,410,283,123,335,524,120,673,9641,5864,265,541,71,998,3267,282,254,6,37,82,223,1,18,147,30,1044,423,1110,436,2245,7859,1,2309,1874,986,33,105,15262,1601,1329,40,65,36,86,218,28,6,9,188,8,12340,163,11,25,454,12,1,19,307,5,1,46,7,362,25,14,1915,299,39,2,109,609,29,58,3,83,134,6,390,61,66,71,16,2518,8,64,416,35,9,201,7,1,3,361,28,349,470,613,1665,42,74,103,22,9,64486,19,14,15,9286,158,208,423,10,118,113,22,137,459,2033,77,50,6,6,1,66,51256,2,7,236724,2651,5333,175410,625,2244,199,9,1841,47978,4,103,327,13035,9350,206,6,10,42,3119,3,48,31,34,117,2,2,65,598
01,23534,18840,55,0,45,0,0,127,1,9,57,9219,540,1,0,151,265,19,0,5,4,4848,0,19,0,169,146,1,2,428,157,1311,0,6,7,36,412,14,784,0,2,1848,1,18,15,8,3,5,14,8,0,28,148,108,4,21,1,50,40,6,14,0,2,1,12,0,1,1,0,10,19,41,4,24,502,0,44,21,31,0,1,584,24,13,0,4,1,5,9,1,1,0,0,0,293,1,0,2,4,0,0,0,1,0,0,2,0,7,2,0,10,10,0,0,7,14,0,1,0,14,1,1,7,3,5,4,0,12,0,1,10,0,0,4,0,0,0,3,1,6,12,19,105,6,16,2,0,0,1486,0,0,0,340,5,8,1,0,2,5,0,4,14,21,2,2,0,0,0,2,1080,0,0,215,8,6,130,13,11,1,1,14,27,0,2,2,844,631,2,0,0,0,202,0,2,1,2,1,0,0,3,8
02,4041,3417,4,0,2,0,0,10,0,7,1,1259,46,0,0,25,100,2,0,0,0,888,0,3,0,42,6,0,0,85,41,535,0,0,0,2,110,2,247,0,0,138,0,0,0,0,0,0,0,2,0,0,19,8,4,2,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,2,0,23,24,0,14,1,0,0,0,28,1,0,0,0,0,0,1,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,396,0,0,0,33,0,1,0,0,1,0,0,0,5,3,0,0,0,0,0,0,353,0,0,36,1,0,23,1,3,0,0,1,6,0,0,1,32,16,0,0,0,0,15,0,0,0,1,0,0,0,0,1
03,5697,5205,12,0,5,0,0,15,0,7,4,2448,64,0,0,20,181,2,0,0,0,946,0,8,0,14,27,0,0,58,41,956,0,0,0,7,66,0,324,0,0,134,0,0,1,0,0,0,0,1,0,0,8,18,0,1,2,4,3,3,0,0,0,0,0,0,0,0,0,1,0,7,0,11,17,0,1,2,5,0,0,44,4,0,0,0,0,0,0,0,0,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,4,0,0,16,0,0,0,0,0,227,0,0,0,29,0,0,0,0,1,0,0,1,2,7,0,0,0,0,0,0,187,0,0,57,2,0,41,1,4,1,0,3,5,0,0,0,40,24,0,0,0,0,14,0,0,0,0,2,0,0,0,1
04,16274,14325,17,0,32,1,1,135,1,22,53,5903,264,1,1,135,446,50,0,3,1,3773,1,4,0,88,70,1,3,631,170,1102,0,2,3,23,247,38,1097,5,1,583,0,1,2,2,2,1,9,5,4,15,83,62,2,7,2,9,27,2,1,0,0,3,2,0,1,1,0,11,0,12,0,14,107,0,10,26,6,2,0,124,9,8,1,0,0,2,5,1,0,0,1,1,122,5,0,1,3,0,0,1,9,0,0,1,0,4,1,0,12,1,0,0,1,6,0,10,0,4,1,0,5,0,0,1,0,9,0,1,3,0,0,1,0,0,0,2,0,4,4,14,17,0,1,0,0,0,883,0,1,0,135,2,5,2,0,1,1,1,2,18,30,2,1,0,0,0,5,677,0,0,249,6,11,164,5,10,3,0,2,41,0,0,7,102,74,2,1,0,0,21,0,0,0,3,0,0,0,1,10
05,3622,3106,2,0,8,0,0,5,2,14,2,1392,49,1,0,14,40,4,0,2,0,652,0,1,0,48,32,0,0,38,20,612,0,0,0,3,64,0,101,0,0,156,0,0,0,1,2,1,4,4,0,4,17,8,2,0,0,5,5,0,0,0,0,0,3,0,0,0,0,0,0,4,2,11,29,0,8,2,1,0,0,35,4,0,0,0,0,2,2,0,0,0,0,0,30,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,5,1,0,1,0,0,257,1,0,0,32,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,216,0,0,18,2,0,8,1,1,0,0,0,5,0,1,0,54,22,7,0,0,0,16,0,3,0,0,6,0,0,0,1
06,6131,5699,0,0,23,0,0,20,2,0,6,2528,80,0,0,26,74,4,1,3,0,1713,0,3,0,45,10,0,0,43,31,675,0,0,0,8,89,4,309,0,2,117,0,1,1,0,0,0,3,1,2,1,5,9,2,6,0,13,1,0,0,0,0,2,1,0,0,0,0,1,0,1,0,5,10,0,5,1,0,0,0,43,1,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,159,0,0,0,28,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,126,0,0,114,1,9,87,1,0,0,0,1,14,0,0,1,27,16,0,0,0,0,10,0,0,0,0,0,0,0,1,1
07,10249,9263,14,0,65,0,0,25,1,17,29,3704,95,0,0,78,137,7,0,1,0,1707,0,7,1,36,49,0,1,300,79,2194,0,1,6,7,307,1,394,0,0,222,0,0,0,2,1,0,0,0,1,1,8,15,0,3,1,6,6,1,0,0,0,0,1,0,0,0,0,4,1,7,0,6,44,0,4,1,3,0,0,81,20,4,0,0,0,0,1,0,0,0,0,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,2,0,6,1,2,6,0,0,1,0,0,376,1,0,0,81,1,1,0,0,2,0,0,0,9,8,0,0,0,0,0,2,271,0,0,254,4,2,195,1,5,2,0,7,38,0,0,0,88,58,6,0,0,0,22,0,0,0,0,2,0,0,0,2
08,52009,41543,141,1,125,0,1,419,1,111,1114,13013,1166,2,0,756,2412,200,16,6,6,4918,1,237,6,204,114,2,2,702,988,8194,7,2,12,33,4381,34,2213,1,2,1114,0,7,9,5,11,8,13,6,5,12,99,104,10,22,2,16,36,20,27,0,0,3,12,0,1,4,0,21,3,34,4,33,176,0,33,11,10,7,27,194,36,50,0,2,4,13,11,1,0,0,11,1,388,8,0,0,17,0,0,0,1,0,0,1,0,15,2,0,26,5,0,0,2,22,0,1,0,0,2,0,8,3,0,3,1,78,0,0,5,0,0,8,0,0,0,2,0,23,36,16,84,2,8,8,1,0,973,0,0,0,164,3,1,6,0,2,6,2,4,6,55,8,0,0,0,0,1,711,0,4,7815,54,98,5882,20,64,3,0,16,1669,0,1,8,165,108,14,0,0,1,31,0,3,0,2,4,0,0,2,11
09,32178,22520,33,0,212,0,0,290,0,11,552,6918,933,0,2,518,475,139,3,4,0,2717,0,24,1,150,112,0,0,1433,581,3872,0,5,6,12,1735,26,1756,0,0,400,1,7,3,0,1,0,3,3,6,1,33,29,1,2,0,12,12,4,2,0,0,0,6,0,0,1,0,11,1,6,2,42,56,0,7,7,1,0,0,119,7,10,2,0,0,0,1,1,0,0,0,0,155,1,0,0,21,0,0,0,20,0,0,1,0,6,0,1,17,16,0,0,1,7,0,0,0,4,2,0,3,2,0,0,0,30,0,1,3,1,0,0,0,0,0,2,0,2,2,4,6,1,0,1,0,0,634,0,1,0,81,4,3,10,0,1,3,0,4,3,22,0,0,0,0,0,1,501,0,0,8368,120,358,4424,5,39,1,0,88,3321,0,0,12,95,62,6,0,0,0,22,0,0,1,1,0,0,1,2,6
