都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2172892,1782866,2323,88,12132,22,70,10205,52,4916,11933,656403,45209,36,29,25309,32524,3992,88,507,145,497707,29,2564,112,8585,6214,31,47,48403,12235,224048,23,999,429,2449,44175,3906,124820,60,47,64661,71,527,701,424,289,158,334,520,213,693,10219,6019,280,553,65,1035,3399,296,255,5,37,95,395,1,17,149,35,1091,412,1307,484,2330,7973,2,2448,1800,994,36,99,15197,1636,1365,42,68,37,92,236,32,5,8,175,7,12721,161,11,32,472,13,1,20,319,5,1,55,5,359,25,14,1959,315,43,2,118,644,29,63,3,83,143,6,414,55,69,75,15,2569,15,68,457,35,9,207,4,1,3,379,27,375,489,623,1676,41,80,106,17,11,64968,18,15,13,9304,157,215,466,12,116,119,22,134,492,2135,84,54,6,6,1,67,51523,3,6,234266,2631,5394,173038,633,2240,196,10,1863,47800,4,96,361,12823,9167,209,7,10,35,3081,3,50,30,37,122,3,2,67,587
01,24488,20267,57,0,40,0,1,119,1,35,66,9681,678,1,0,143,257,21,4,4,3,4864,0,15,0,155,152,1,2,500,179,1352,0,7,7,34,447,15,1424,0,2,1658,1,17,14,9,4,5,7,10,0,24,148,106,7,21,1,53,44,5,14,0,2,2,13,0,1,0,0,11,7,52,7,24,487,0,33,22,32,0,2,419,23,14,0,5,1,2,8,1,0,0,0,0,289,1,0,2,4,0,0,0,1,0,0,2,0,14,1,1,10,9,0,0,7,12,0,1,0,14,1,1,7,4,6,5,0,12,0,0,11,0,0,0,0,0,0,3,1,6,14,19,95,5,17,3,0,0,1427,0,0,0,301,5,7,1,0,2,4,0,4,12,24,2,3,0,0,0,0,1062,0,0,232,7,5,141,10,16,1,1,15,30,0,2,4,609,447,2,0,0,0,149,0,3,1,3,1,0,0,3,6
02,4251,3620,5,0,3,0,0,5,0,12,2,1316,48,0,0,27,116,2,0,0,0,888,0,3,0,48,8,0,0,92,50,538,0,0,0,2,111,2,342,0,0,140,0,0,0,0,0,0,0,4,0,0,20,9,4,1,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,3,0,23,25,0,13,1,0,0,0,23,4,0,0,0,0,0,1,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,400,0,0,0,32,0,1,0,0,1,0,0,0,4,3,0,0,0,0,0,0,359,0,0,37,1,0,23,3,2,0,0,0,7,0,0,1,34,17,0,0,0,0,16,0,0,0,1,0,0,0,0,1
03,5777,5312,10,0,13,0,0,15,0,5,4,2378,64,0,0,28,169,1,0,0,0,915,0,7,0,12,25,0,0,84,43,987,0,0,0,8,64,0,480,0,0,121,0,0,1,0,0,1,0,1,0,0,8,19,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,3,0,8,15,0,1,2,5,0,0,44,4,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,4,0,0,5,0,0,1,0,0,223,0,1,0,33,0,0,1,0,1,0,0,1,2,7,0,0,0,0,0,0,177,0,0,58,2,0,41,1,4,1,0,3,6,0,0,0,39,20,0,0,0,0,17,0,0,0,0,2,0,0,0,1
04,16543,14595,19,0,46,1,1,145,1,21,73,5784,280,2,1,139,464,42,0,3,1,3718,1,4,1,100,77,1,3,792,172,1112,0,0,3,22,288,36,1239,2,1,590,0,3,1,2,2,1,6,2,4,14,95,68,3,5,0,11,27,2,0,0,0,3,2,0,1,1,0,11,1,12,1,16,102,0,15,26,6,2,0,119,11,8,1,0,0,0,4,1,0,0,0,1,133,4,0,3,4,0,0,1,8,0,0,0,0,5,3,0,13,1,0,0,2,6,0,7,0,4,1,0,3,0,0,0,0,10,0,1,4,0,0,2,0,0,0,0,0,6,6,15,22,0,1,0,1,0,859,0,1,0,131,2,5,6,0,1,3,0,2,14,29,2,1,0,0,0,4,658,0,0,252,5,8,168,7,8,3,0,2,44,0,0,7,104,77,1,1,0,0,21,0,0,0,3,0,0,0,1,10
05,3658,3097,4,0,10,0,0,5,5,14,2,1323,40,1,0,21,49,4,0,1,0,637,0,1,0,52,36,0,0,39,24,643,0,0,0,3,68,0,115,0,0,183,0,0,0,1,0,1,4,7,0,8,21,8,2,3,0,6,6,0,1,0,0,2,3,0,0,0,0,3,4,4,1,12,35,0,8,4,1,0,0,33,4,0,0,0,0,0,1,0,0,0,0,0,34,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,3,5,0,0,1,0,0,267,1,0,0,29,0,0,0,0,0,1,0,0,2,7,0,0,0,0,0,0,227,0,0,21,2,1,8,1,1,0,0,0,6,0,1,1,55,26,7,0,0,0,14,0,3,0,0,5,0,0,0,1
06,6145,5708,0,0,20,0,0,18,3,2,6,2444,95,0,0,24,85,4,1,3,0,1699,0,3,0,43,7,0,0,41,30,688,0,0,1,7,88,4,390,0,2,117,0,1,1,0,0,0,3,1,1,1,7,9,2,7,0,13,1,0,0,0,0,3,1,0,0,0,0,1,0,1,0,4,13,0,0,1,0,0,1,42,1,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,165,0,0,0,32,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,129,0,0,107,1,9,80,2,0,0,0,1,12,0,0,2,28,16,0,0,0,0,11,0,0,0,0,0,0,0,1,2
07,10669,9624,14,0,85,0,0,23,1,24,28,3713,103,0,0,75,135,7,0,1,0,1729,0,8,1,34,45,0,1,363,85,2301,0,1,7,7,307,1,525,0,0,238,0,0,0,2,1,0,0,0,1,0,11,15,0,3,1,6,6,1,0,0,0,0,1,0,0,0,0,7,1,8,1,6,44,0,6,1,3,0,0,83,22,4,0,0,0,0,4,0,0,0,0,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,0,0,0,0,2,0,5,1,3,6,0,0,0,0,0,392,1,0,0,81,1,2,1,0,2,0,0,0,9,10,0,0,0,0,0,2,283,0,0,275,4,3,198,11,3,2,0,7,47,0,0,0,95,62,10,0,0,0,21,0,0,0,0,2,0,0,0,1
08,52920,42611,173,1,160,1,2,431,1,161,1187,12760,1238,1,3,770,2506,202,13,8,4,4866,1,250,6,206,148,1,2,788,1025,8361,0,8,15,32,4554,19,2704,2,1,1190,0,8,10,5,11,9,17,5,5,11,123,98,11,18,2,19,42,22,26,0,0,2,14,0,1,4,0,23,4,40,4,35,183,0,46,8,12,6,28,203,35,56,0,2,4,13,13,1,0,0,10,1,434,6,0,0,24,0,0,0,1,0,0,2,0,10,3,0,27,5,5,0,2,28,1,1,1,1,4,0,15,6,0,3,1,81,1,3,6,0,0,11,0,0,0,3,1,24,38,17,82,1,9,8,1,2,967,0,0,0,156,2,2,11,0,3,6,3,5,6,53,9,0,0,0,0,1,706,0,4,7534,53,101,5615,18,64,2,0,15,1656,0,1,9,174,112,11,0,0,1,36,0,4,0,3,5,0,0,2,10
09,33361,23902,36,0,296,0,0,328,0,20,662,6849,1001,0,0,568,527,137,7,5,0,2700,0,22,1,154,121,0,0,1778,610,4016,0,8,4,14,1792,30,2216,0,0,408,1,7,2,0,1,0,3,3,6,1,43,30,0,1,0,12,12,5,2,0,0,0,5,0,0,1,0,12,0,7,2,34,60,0,7,7,0,0,0,124,8,9,1,0,0,0,1,1,0,0,0,0,161,2,0,0,15,0,0,1,22,0,0,1,0,4,0,1,18,18,0,0,1,8,1,0,0,4,2,0,3,0,0,0,0,30,0,1,4,2,0,0,0,0,0,4,0,2,3,4,7,1,1,1,0,0,652,0,0,0,80,6,2,10,0,1,3,0,4,4,22,0,0,0,0,0,1,519,0,0,8127,119,348,4239,7,40,0,0,88,3274,0,0,12,104,70,4,0,0,0,26,0,0,1,0,0,0,1,2,7
10,45108,26264,32,0,331,0,1,586,0,44,330,7364,382,0,0,309,959,176,0,3,1,2685,0,12,1,102,102,0,0,1236,775,6182,0,0,2,16,925,176,3530,2,0,451,1,6,0,5,1,0,3,1,0,0,27,23,1,4,0,18,15,0,0,0,0,0,1,0,0,3,0,3,0,10,2,83,74,0,18,2,2,0,1,112,8,20,0,2,0,3,1,0,0,0,1,0,163,4,1,0,28,0,0,0,4,0,0,0,0,8,0,0,12,15,2,0,0,11,0,0,0,0,12,0,5,0,0,9,0,19,0,1,2,0,0,0,0,0,0,3,0,10,5,7,4,0,0,1,0,0,602,0,0,0,81,4,2,15,0,4,1,0,1,3,28,1,1,0,0,0,1,460,0,0,17483,181,465,11832,46,54,4,0,171,4714,0,7,9,129,80,0,0,0,0,37,1,1,0,0,9,0,0,1,16
11,134374,115995,81,3,513,1,5,1314,0,111,661,53847,2717,1,0,1073,1462,486,2,18,16,17084,1,60,3,500,520,1,4,2445,1996,17459,1,98,22,95,2802,880,9703,6,4,2416,1,18,14,8,13,3,15,13,5,17,271,183,15,32,0,39,104,12,13,0,1,4,10,0,0,11,2,18,13,68,22,114,397,0,78,57,18,2,2,595,83,107,6,4,1,6,10,1,0,1,9,0,1520,6,0,0,112,1,0,0,40,0,0,7,0,38,4,0,388,60,17,1,3,40,1,1,0,2,23,0,27,5,3,1,1,457,0,0,73,4,1,17,0,0,0,11,6,36,34,15,73,0,2,10,0,0,2390,0,0,0,375,7,12,32,1,9,4,0,10,12,103,2,5,0,0,0,1,1817,0,0,11572,168,169,7175,58,170,12,0,211,3593,0,7,9,436,275,8,0,1,3,131,0,1,4,1,6,0,0,6,45
12,118456,104375,769,1,558,0,6,728,1,121,2014,42336,3014,1,0,1331,1500,421,9,18,16,16252,1,59,2,548,818,0,2,3232,888,16684,0,12,23,120,5150,63,7665,10,2,2729,8,31,22,18,16,3,17,11,4,32,250,171,12,40,1,43,78,19,16,1,2,4,17,0,0,7,0,29,20,49,35,94,514,0,87,50,42,1,2,745,104,110,0,2,1,6,8,0,0,0,7,0,1045,7,1,0,60,0,0,2,16,1,0,2,0,23,2,1,256,14,0,0,9,62,11,2,0,3,5,0,18,1,3,3,1,264,0,3,16,3,1,45,0,0,0,29,3,12,86,23,49,0,1,6,1,0,2951,0,0,1,429,13,12,20,2,12,9,2,16,34,224,4,2,1,0,0,1,2168,0,1,6744,114,164,3291,74,235,6,0,85,2757,0,4,14,586,386,23,0,0,0,156,0,2,3,1,8,0,0,7,26
