都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2232189,1835811,2639,98,13737,21,78,10835,57,6111,13152,665847,48723,35,26,26244,35910,3996,96,520,146,457772,33939,22,2592,108,8738,6590,25,49,54775,12708,229595,21,1007,477,2501,45379,4157,146956,73,56,68179,71,544,770,449,292,196,351,573,500,806,10672,6336,277,565,72,1026,3536,347,307,8,36,138,638,1,16,154,33,1129,433,1653,508,2408,8092,1,2495,1805,1023,35,112,15826,1699,1503,47,72,44,99,248,28,5,12,180,8,13368,173,14,38,473,13,1,21,347,5,2,63,5,416,27,21,2005,331,41,2,127,695,23,57,3,86,143,11,422,66,71,111,17,2638,19,66,484,40,10,222,6,1,4,419,28,380,511,691,1747,48,80,115,17,12,66064,21,15,12,9538,155,213,477,11,119,117,24,148,559,2141,88,56,6,6,1,77,52271,3,6,234633,2630,5412,173437,639,2268,200,10,1880,47721,5,94,337,13561,9843,201,7,11,41,3152,4,43,32,41,114,2,3,67,573
01,25692,20514,63,0,45,0,1,133,1,52,72,9153,794,1,0,154,283,21,4,6,2,4190,699,0,13,0,171,147,1,2,564,206,1409,0,8,9,38,483,15,1772,0,2,2106,0,19,9,9,3,6,19,26,0,32,185,123,7,18,1,50,51,7,16,0,2,2,11,0,1,0,0,19,2,53,10,25,498,0,41,34,36,0,2,720,24,21,0,5,1,8,10,0,0,0,0,0,289,1,0,2,5,0,0,0,1,0,0,2,0,18,1,1,9,11,0,0,7,15,0,1,0,15,1,2,7,7,4,5,0,19,0,1,14,0,0,0,0,0,0,4,1,6,13,19,72,5,18,2,0,0,1560,0,0,0,360,4,7,1,0,2,4,0,5,13,30,2,3,0,0,0,0,1129,0,0,229,13,5,137,11,16,3,0,9,29,0,2,4,987,760,2,0,0,0,216,0,2,0,3,1,0,0,3,7
02,4245,3614,5,0,2,0,0,7,0,10,2,1236,58,0,0,31,116,2,0,0,0,778,84,0,3,0,49,8,0,0,105,53,535,0,0,0,3,110,3,414,0,0,135,0,0,0,0,0,0,0,5,0,0,20,10,1,1,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,20,23,0,13,1,0,0,0,29,1,0,0,0,0,0,1,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,408,0,0,0,34,0,1,0,0,1,0,0,0,5,3,0,0,0,0,0,0,364,0,0,36,2,0,22,2,2,0,0,0,7,0,0,1,30,18,0,0,0,0,11,0,0,0,1,0,0,0,0,1
03,5902,5423,7,0,12,0,1,17,0,5,5,2269,66,0,0,26,176,1,0,0,0,807,104,0,7,0,12,24,0,0,90,45,1022,0,0,0,8,64,0,655,0,0,127,0,0,1,0,0,1,0,1,0,1,9,19,0,0,5,1,4,2,0,0,0,0,0,0,0,0,0,1,0,3,0,8,15,0,1,2,5,0,0,42,4,0,0,0,0,0,1,0,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,4,0,2,4,0,0,1,0,0,228,0,1,0,34,0,0,1,0,2,0,0,1,2,7,0,0,0,0,0,0,180,0,0,59,2,0,41,1,4,1,0,3,7,0,0,0,41,24,0,0,0,0,15,0,0,0,0,2,0,0,0,0
04,17708,15660,24,0,72,0,8,159,1,24,81,5980,302,2,1,154,543,44,0,3,1,3361,313,2,4,1,114,89,0,3,1060,189,1156,0,0,9,19,248,37,1652,3,1,647,0,5,1,2,2,1,5,6,3,22,94,75,3,4,0,10,27,2,1,0,0,3,2,0,0,2,0,14,0,15,4,17,109,0,27,30,7,2,0,119,11,12,1,1,0,0,7,0,0,0,0,1,157,5,0,3,4,0,0,1,13,0,0,0,0,5,4,0,14,1,0,0,0,8,0,6,0,4,1,0,4,0,0,1,0,12,0,1,2,0,0,2,0,0,0,1,0,6,6,16,34,1,1,0,1,0,867,0,1,0,129,2,6,1,0,2,3,0,2,14,29,2,1,0,0,0,1,674,0,0,252,5,10,161,9,8,3,0,2,48,0,0,6,115,88,1,1,0,0,20,0,0,0,3,1,0,0,1,10
05,3616,3113,4,0,9,0,0,2,3,20,2,1241,52,1,0,20,53,5,0,0,0,565,64,0,1,0,52,47,0,0,51,22,661,0,0,0,9,70,1,158,0,0,160,0,0,1,1,2,1,1,7,0,2,10,11,2,2,0,5,7,0,1,0,0,1,4,0,0,0,0,1,3,3,1,13,30,0,5,2,0,0,0,36,5,0,0,0,0,0,2,0,0,0,1,0,32,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1,5,0,1,1,0,0,243,2,0,0,26,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,1,208,0,0,15,1,1,7,1,1,0,0,0,3,0,1,0,52,26,7,0,0,0,12,0,3,0,0,4,0,0,0,1
06,6160,5714,0,0,21,0,0,27,3,8,4,2299,102,0,0,24,104,5,1,3,0,1629,49,0,3,0,40,9,0,0,56,29,679,0,1,1,6,100,5,504,0,2,119,0,1,1,0,0,0,3,1,1,1,9,11,2,7,0,13,1,0,0,0,0,2,0,0,0,2,0,1,0,1,0,6,9,0,0,0,0,0,1,42,1,0,1,0,0,0,2,0,0,0,0,0,24,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,2,0,0,2,0,0,0,1,0,0,0,164,0,0,0,28,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,132,0,0,105,0,10,79,2,0,0,0,2,11,0,0,1,32,17,0,0,0,0,14,0,0,0,0,0,0,0,1,2
07,11052,10031,19,0,121,0,0,23,1,38,31,3641,118,0,0,89,172,6,0,1,0,1473,259,0,10,0,31,48,0,1,411,91,2348,0,1,8,5,325,1,759,0,0,231,0,0,0,2,1,0,0,0,2,0,10,15,0,4,1,6,7,1,0,0,0,0,1,0,0,0,0,7,1,7,1,6,41,0,4,0,2,0,0,85,22,4,0,0,0,0,1,0,0,0,0,0,48,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,2,0,0,1,0,0,0,2,0,5,1,3,6,0,0,0,0,0,385,1,0,0,76,1,1,0,0,1,0,0,2,9,11,0,0,0,0,0,2,281,0,0,266,5,4,194,1,3,2,0,8,49,0,0,0,90,59,10,0,0,0,19,0,0,0,0,2,0,0,0,1
08,54095,43823,195,1,165,1,1,447,1,272,1312,12543,1303,1,1,819,2810,212,15,9,1,4461,358,1,240,6,209,162,0,2,865,1052,8693,0,13,13,34,4498,19,3085,2,1,1177,0,7,11,8,12,8,15,5,5,11,108,90,12,20,1,22,35,21,21,0,0,2,15,0,1,3,0,23,4,34,5,36,195,0,45,7,10,6,24,210,41,64,0,2,4,13,11,1,0,0,8,1,427,5,0,1,25,0,0,1,1,0,0,2,0,11,2,2,29,5,2,0,2,24,1,1,0,1,4,0,10,6,0,3,1,81,1,2,7,0,0,10,0,0,0,4,0,29,32,14,83,1,8,13,1,2,1039,0,0,0,160,2,3,8,0,1,6,3,6,7,61,11,0,0,0,0,1,766,0,4,7452,58,105,5523,18,69,1,0,15,1654,0,1,8,168,113,10,0,0,1,34,0,3,0,2,3,0,0,2,9
09,34402,24970,36,0,272,0,0,346,0,41,712,6716,1025,0,0,608,642,138,2,5,0,2445,232,0,24,2,147,122,0,0,2130,672,4153,0,9,5,16,1756,34,2680,0,0,430,1,7,3,0,1,0,3,4,6,2,47,33,0,3,0,10,12,5,2,0,0,0,6,0,0,1,0,11,1,7,2,34,62,0,8,10,0,0,0,129,7,8,1,0,0,1,1,1,0,0,1,0,183,2,0,0,13,0,0,1,23,0,0,1,0,4,0,1,19,17,0,0,2,13,0,0,0,4,2,0,3,0,0,3,0,42,0,1,7,2,0,0,0,0,0,4,0,2,3,3,7,1,1,2,0,0,633,0,0,0,76,6,2,11,0,1,3,0,4,4,23,0,0,0,0,0,1,502,0,0,8083,123,339,4219,6,40,0,0,94,3255,0,0,7,95,63,3,0,0,0,25,0,0,1,0,0,0,1,2,8
