都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,朝鮮,韓国,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,アンドラ,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2307388,1904678,2787,87,15912,22,98,11470,75,7370,15193,677571,50908,37,28,27592,39540,3993,114,525,157,33273,456917,26,2640,116,8946,7154,23,49,60689,13221,237103,25,961,503,2588,46690,4405,175744,67,59,69894,75,572,777,541,314,190,359,523,546,824,11338,6520,274,581,75,1047,3769,384,323,11,39,216,538,1,18,154,36,1160,406,1597,555,2434,8205,1,2655,1787,1057,36,122,15652,1745,1632,45,82,1,43,121,261,31,5,10,196,10,14001,192,15,37,494,14,1,19,363,7,2,71,11,432,32,24,2033,343,47,2,129,743,23,54,6,86,149,14,463,79,73,117,17,2719,16,79,498,42,8,238,8,4,429,30,438,517,739,1840,53,86,126,26,13,67235,25,16,11,9672,155,227,512,11,119,120,25,146,627,2262,85,69,6,5,3,79,53050,3,7,237630,2650,5467,176284,649,2319,207,9,1924,47670,5,96,350,13347,9674,211,9,11,34,3095,2,47,32,40,120,2,5,65,603
01,26756,22172,67,0,116,0,3,136,1,103,75,9463,894,1,0,176,322,21,5,6,4,688,4168,0,11,0,176,174,1,4,623,210,1454,0,6,8,39,522,16,2678,0,1,1822,0,19,9,10,7,6,13,13,3,28,187,118,8,16,3,50,51,8,15,0,2,2,13,0,1,0,0,16,6,58,8,25,504,0,31,30,38,0,2,457,22,20,0,5,0,1,4,13,0,0,0,0,0,302,1,0,2,4,0,0,0,0,1,0,2,0,18,1,1,10,10,0,0,7,17,0,0,0,16,1,1,8,6,5,5,0,21,0,1,13,0,0,1,0,0,4,1,6,13,20,82,6,16,2,0,0,1515,0,0,0,307,3,8,5,0,2,3,0,5,18,32,2,2,0,0,0,0,1128,0,0,235,11,7,147,10,11,4,0,12,28,0,2,3,701,528,1,0,0,0,156,0,3,0,6,1,0,3,3,9
02,4528,3891,6,0,13,0,0,6,0,35,2,1264,55,0,0,35,120,2,0,0,0,80,762,0,3,0,57,9,0,0,108,53,558,0,0,0,3,108,3,609,0,0,129,0,0,0,0,0,0,0,2,0,0,20,7,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,20,23,0,12,1,0,0,0,29,2,0,0,0,0,0,0,1,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,4,0,0,0,0,0,419,0,0,0,35,0,1,0,0,1,0,0,0,5,7,0,0,0,0,0,0,370,0,0,38,2,1,28,0,2,0,0,0,5,0,0,0,29,19,0,0,0,0,9,0,0,0,1,0,0,0,0,1
03,6054,5591,8,0,54,0,2,14,0,8,6,2181,72,0,0,28,177,1,0,0,0,99,789,0,7,0,12,29,0,0,98,45,1079,0,0,0,8,71,0,803,0,0,115,0,0,1,0,0,1,0,1,0,3,10,17,0,0,3,1,3,2,0,0,0,0,0,0,0,0,0,2,0,3,0,8,16,0,1,2,4,0,0,32,4,0,0,0,0,0,0,0,0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,1,0,4,0,4,4,0,0,1,0,0,226,0,1,0,32,0,1,0,0,1,0,0,1,3,6,0,0,0,0,0,0,181,0,0,53,2,0,38,1,4,1,0,3,4,0,0,0,39,25,0,0,0,0,12,0,0,0,0,2,0,0,0,0
04,18197,16093,23,0,89,0,16,162,0,25,85,5882,312,2,0,159,605,42,0,3,1,310,3367,2,4,1,118,87,0,2,1172,202,1200,0,0,10,26,273,35,1874,3,1,654,0,5,3,1,2,1,8,4,3,13,104,72,2,4,1,10,29,2,1,0,0,3,2,0,0,0,0,11,0,14,4,18,108,0,28,32,7,2,0,127,11,12,2,1,0,0,0,6,0,0,0,0,1,160,6,0,4,5,0,0,1,8,0,0,0,0,4,4,0,17,1,0,0,0,10,0,3,0,4,1,0,5,0,0,2,0,13,0,1,4,0,0,1,0,0,2,0,4,7,17,33,1,1,0,1,0,904,0,1,0,125,3,7,2,0,6,5,1,4,16,29,2,1,0,0,0,1,701,0,0,257,6,10,156,14,9,2,0,3,47,0,1,9,119,89,2,1,0,0,22,0,0,0,3,1,0,0,1,10
05,3731,3196,4,2,8,0,0,5,5,32,3,1188,68,1,0,22,56,6,0,0,0,65,568,0,1,0,53,46,0,0,67,22,703,1,0,0,5,66,1,198,0,0,160,0,0,1,1,1,1,1,4,0,3,16,10,2,1,0,5,7,0,1,0,0,2,1,0,0,0,0,4,5,3,3,10,25,0,5,3,0,0,0,37,5,0,0,0,0,0,0,2,0,0,0,1,0,32,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2,0,1,4,0,3,1,0,0,264,2,0,0,21,0,0,0,0,0,1,0,2,1,3,0,0,0,0,0,1,233,0,0,14,1,1,6,1,1,0,0,0,4,0,0,0,64,33,7,0,0,0,17,0,3,0,0,4,0,0,0,1
06,6246,5772,1,0,16,0,0,31,4,25,5,2209,108,0,0,26,109,4,1,3,0,45,1624,0,2,0,40,19,0,0,44,31,700,0,1,0,2,122,5,593,0,2,132,0,1,1,0,0,0,3,1,1,1,8,13,2,8,0,13,2,0,0,0,0,3,0,0,0,2,0,1,0,0,0,7,14,0,0,0,0,0,1,47,1,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,0,0,2,0,6,0,1,0,0,0,172,0,0,0,29,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,139,0,0,104,0,10,80,1,0,1,0,1,10,0,0,1,35,21,0,0,0,0,13,0,0,0,0,0,0,0,1,1
07,11456,10425,19,0,142,0,0,35,1,37,39,3602,120,0,0,90,208,6,0,1,0,248,1450,0,11,0,30,49,0,0,467,96,2400,0,2,3,5,324,2,1038,0,0,230,0,1,0,2,1,0,0,0,2,0,8,19,0,4,0,4,6,1,0,0,0,0,0,0,0,0,0,6,1,7,1,6,41,0,5,0,3,0,0,87,20,4,0,0,0,0,0,1,0,0,0,0,0,52,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,18,0,0,2,0,0,1,0,0,2,0,4,1,4,7,0,0,1,0,0,384,1,0,0,84,1,0,1,0,1,0,0,0,12,11,0,0,0,0,0,2,271,0,0,276,5,6,199,1,3,2,0,15,41,0,0,4,89,55,10,0,0,0,22,0,0,0,0,2,0,0,0,0
08,56153,45704,219,1,262,1,4,492,5,448,1496,12383,1286,2,5,880,3010,215,21,10,1,355,4429,1,267,6,208,179,0,2,945,1130,9074,0,14,8,35,4538,19,3750,2,1,1234,0,7,12,11,14,6,14,7,4,13,115,99,12,20,1,22,37,29,23,0,0,5,13,0,1,4,0,22,7,34,5,35,202,0,39,8,11,6,29,214,40,67,1,2,0,4,17,11,2,0,0,8,1,473,8,0,0,30,0,0,1,1,0,0,3,0,12,2,2,31,6,2,0,3,34,1,1,1,1,4,0,11,7,0,6,1,87,0,1,5,2,0,10,0,0,5,0,28,34,13,91,0,12,14,1,2,1040,0,0,0,159,2,4,11,0,1,7,3,6,11,61,8,0,0,0,0,1,762,0,4,7516,55,104,5579,18,69,1,0,16,1662,0,1,11,174,114,8,0,0,1,40,0,4,0,2,4,0,0,1,12
09,35924,26393,43,0,320,0,2,376,0,89,833,6709,1003,0,0,672,739,138,2,5,0,227,2410,0,24,1,154,124,0,0,2256,692,4438,0,18,6,16,1806,37,3253,0,0,446,1,6,3,0,1,0,2,5,6,2,48,34,0,3,0,13,11,6,2,0,0,0,6,0,0,1,0,10,2,8,2,36,64,0,7,10,2,0,0,135,7,8,1,0,0,0,1,1,1,0,0,1,0,206,2,0,1,17,1,0,0,22,0,0,1,0,5,0,1,20,18,0,0,2,14,1,0,0,4,2,0,6,3,0,3,0,46,0,1,8,1,0,0,0,0,6,1,2,5,3,6,1,1,2,0,0,620,0,0,0,76,5,2,11,0,1,3,0,4,5,19,0,0,0,0,0,2,492,0,0,8153,127,333,4294,5,42,0,0,95,3249,0,0,8,97,63,4,0,0,0,26,0,0,1,0,0,0,1,2,9
