都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,アンドラ,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2382822,1970253,2888,87,17775,27,109,12374,54,8367,17346,695522,52768,36,26,28667,42850,3999,107,537,155,453096,32461,26,2668,110,9084,7636,24,52,67470,13752,243662,24,926,534,2615,47647,4648,199990,71,63,72138,74,590,774,535,324,178,396,596,497,843,11640,6773,277,606,68,1074,3824,394,343,11,36,285,494,1,17,156,40,1238,424,1420,589,2481,8306,3,2750,1794,1076,40,133,16454,1867,1874,46,90,3,57,121,271,33,5,11,197,9,14686,190,19,50,521,14,2,19,383,7,1,74,10,430,1,36,25,2148,372,57,5,138,761,27,54,7,96,156,18,495,101,72,134,19,2797,21,92,543,43,14,224,10,1,5,437,33,454,531,788,1886,68,102,139,28,28,68382,27,17,11,10034,164,229,496,12,122,122,32,173,663,2304,90,58,5,5,4,98,53705,3,8,242507,2676,5550,180923,651,2347,206,9,1949,47740,5,101,350,14262,10387,230,16,12,42,3239,2,55,35,41,124,2,8,69,594
01,28869,23055,58,0,217,0,3,147,1,127,80,9138,1011,1,0,221,369,21,5,7,4,4213,669,0,11,0,195,196,1,2,671,207,1561,0,7,7,51,553,17,3283,0,1,2396,0,23,12,8,7,7,24,85,2,36,226,146,8,16,3,64,53,8,12,0,2,2,12,0,1,0,0,24,6,68,7,24,510,0,42,34,38,0,1,799,23,21,0,5,1,1,12,20,3,0,0,0,0,331,1,0,4,4,0,0,0,0,1,0,3,0,13,0,1,1,9,10,2,0,8,13,0,0,0,18,1,1,7,12,5,6,0,29,0,1,15,0,0,1,0,0,0,4,1,6,13,23,87,5,23,2,0,1,1674,0,0,0,404,3,8,3,0,2,3,0,5,19,30,2,2,0,0,0,0,1193,0,0,254,15,7,154,13,14,4,0,11,31,0,2,3,1149,892,3,0,0,0,238,0,4,0,4,1,0,3,4,10
02,4568,3922,5,0,22,0,0,7,0,54,2,1106,61,0,0,27,118,2,0,0,0,764,80,0,3,0,58,9,0,0,113,63,551,0,0,0,3,101,2,771,0,0,131,0,0,0,0,0,0,0,1,0,0,23,9,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,19,20,0,13,1,0,0,0,29,2,0,0,0,0,0,0,1,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,4,0,0,0,0,0,425,0,0,0,37,0,0,0,0,1,0,0,0,5,7,0,0,0,0,0,0,375,0,0,38,2,0,27,0,3,0,0,1,5,0,0,0,30,17,0,0,0,0,12,0,0,0,1,0,0,0,0,1
03,6275,5816,11,0,60,0,1,14,0,18,6,2098,71,0,0,32,198,1,0,0,0,788,97,0,6,0,13,41,0,0,109,46,1110,0,0,1,9,77,0,1009,0,0,126,0,1,1,0,0,0,0,1,0,2,10,18,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,1,0,3,0,7,16,0,5,2,3,0,0,44,4,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0,4,0,2,1,0,0,1,0,0,228,0,1,0,35,0,1,0,0,1,0,0,1,3,6,0,0,0,0,0,0,180,0,0,51,2,0,36,1,4,1,0,3,4,0,0,0,33,24,0,0,0,0,7,0,0,0,0,2,0,0,0,0
04,19314,17136,21,0,135,0,9,174,0,34,93,6007,309,2,0,157,659,37,0,3,1,3348,306,3,4,1,114,93,0,3,1390,223,1235,0,0,8,20,303,45,2395,3,1,688,0,5,2,1,2,1,13,5,3,27,117,81,3,5,1,8,24,2,1,0,0,3,2,0,0,0,0,14,1,16,4,17,105,1,31,34,6,0,0,123,12,8,2,0,0,0,0,6,0,0,0,1,1,174,5,0,4,7,0,0,1,11,0,0,0,0,4,0,4,0,21,1,0,0,0,14,0,0,0,3,1,0,7,1,0,3,0,10,0,2,6,1,0,1,0,0,0,2,0,4,7,21,29,2,1,0,1,0,927,0,1,0,131,5,9,2,0,6,4,1,3,14,30,2,1,0,0,0,1,717,0,0,251,6,9,148,14,8,2,0,3,49,0,1,11,127,92,4,1,0,0,27,0,0,0,1,1,0,0,1,11
05,3695,3193,5,2,7,0,0,4,2,35,2,1142,63,0,0,23,61,6,0,1,0,543,65,0,1,0,51,34,0,0,72,24,732,0,0,0,5,67,1,245,0,0,150,0,0,0,1,2,1,1,1,0,1,17,9,2,1,0,5,5,0,0,0,0,1,2,0,0,0,0,2,6,3,1,7,29,0,4,3,1,0,0,37,4,0,0,0,0,0,0,3,0,0,0,1,0,36,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,1,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,3,4,0,3,2,0,0,246,2,0,0,29,0,0,0,0,0,1,0,2,1,5,0,0,0,0,0,1,205,0,0,13,0,0,6,2,1,0,0,0,3,0,1,0,56,21,7,0,0,0,20,0,4,0,0,4,0,0,0,1
06,6378,5893,1,0,31,0,0,33,2,28,6,2205,112,0,0,25,123,4,1,3,0,1597,41,0,3,0,43,24,0,0,41,37,734,0,1,1,2,121,5,666,0,3,135,0,1,1,1,0,0,0,1,1,0,6,14,2,7,0,12,5,0,0,0,0,3,0,0,0,0,0,2,0,0,0,7,12,0,0,0,0,0,1,56,1,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0,2,0,0,2,1,2,0,1,0,0,0,183,0,0,0,28,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,151,0,0,99,0,9,77,1,0,1,0,1,9,0,0,1,37,23,0,0,0,0,13,0,0,0,0,0,0,0,1,1
07,12068,11026,22,0,189,0,0,40,1,46,39,3616,127,0,0,94,252,7,0,1,0,1458,245,0,8,0,30,53,0,0,488,101,2475,0,2,4,6,337,3,1382,0,0,240,0,0,0,2,1,0,0,0,2,0,13,17,0,3,0,5,5,1,0,0,0,0,0,0,0,0,0,7,1,7,1,7,41,0,8,0,3,0,0,87,23,5,0,0,0,0,0,1,0,0,0,0,0,51,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,19,0,0,2,0,0,1,0,0,0,2,0,4,1,4,7,0,0,1,0,0,397,1,0,0,82,1,0,1,0,1,0,0,0,13,13,0,0,0,0,0,2,283,0,0,268,5,4,205,1,3,2,0,9,35,0,0,4,85,53,9,0,0,0,22,0,0,0,0,1,0,0,0,1
08,58182,47442,218,1,281,1,1,510,2,546,1686,12510,1339,2,2,935,3110,221,22,10,1,4403,337,1,261,6,207,198,0,1,1085,1178,9352,0,13,7,36,4569,28,4359,2,1,1288,0,8,10,8,15,5,15,7,3,11,139,85,14,17,1,20,48,32,24,0,0,5,12,0,1,6,0,28,9,33,5,35,208,0,39,9,11,4,29,209,45,89,1,5,0,7,13,11,2,0,0,10,0,516,9,0,0,30,0,0,1,7,0,0,3,0,20,0,2,2,43,12,1,0,3,27,1,5,0,2,5,0,17,6,0,5,1,91,0,3,5,1,1,12,0,0,0,5,0,30,31,15,96,1,9,11,1,2,1069,0,0,0,160,2,3,11,0,4,5,3,6,14,65,6,0,0,0,0,1,785,0,4,7677,53,101,5743,22,69,2,0,17,1657,0,1,12,175,116,10,0,0,1,37,0,3,1,3,3,0,0,1,15
09,36654,27092,49,0,306,0,0,404,0,101,960,6674,1022,1,0,724,779,138,2,5,0,2407,221,0,22,1,154,129,0,0,2259,724,4591,0,13,4,17,1825,38,3522,0,0,454,1,7,2,0,1,0,1,5,6,3,52,34,0,3,0,12,11,8,2,0,0,0,6,0,0,1,0,8,1,8,3,38,64,0,6,9,1,1,0,136,8,11,1,0,0,0,0,2,1,0,0,1,0,202,1,0,1,14,1,0,0,23,0,0,1,0,5,0,0,1,17,15,1,0,2,15,0,0,0,4,2,0,7,3,0,3,0,44,0,1,8,1,0,1,0,0,0,5,1,1,6,5,8,1,2,2,0,0,628,0,0,0,74,5,2,15,0,1,3,0,4,6,23,0,0,0,0,0,3,492,0,0,8172,127,344,4305,5,43,0,0,95,3241,0,0,12,98,64,3,0,0,0,27,0,0,1,0,0,0,1,2,8
10,50220,30778,57,0,460,0,1,711,0,159,412,7052,481,0,0,424,1285,180,0,3,1,2273,324,0,12,3,127,147,0,0,2215,883,6807,0,1,5,16,976,186,5574,2,1,514,1,6,2,6,1,1,3,1,0,0,37,20,1,6,0,16,19,0,0,0,0,0,3,0,0,3,1,2,0,10,2,82,77,0,57,3,5,0,0,118,8,16,0,2,0,0,2,2,0,0,0,1,0,173,3,1,0,32,0,0,0,4,0,0,0,0,7,0,0,0,16,21,0,0,0,8,0,0,0,0,10,0,4,0,0,1,0,24,0,0,2,0,0,0,0,0,0,3,0,15,3,8,5,1,0,5,0,0,636,0,0,0,95,5,1,9,0,3,1,3,1,7,31,1,1,0,0,0,1,477,0,0,17958,171,506,12243,44,49,3,0,194,4736,0,8,4,145,91,1,0,0,0,41,1,1,0,0,9,0,0,1,16
11,152486,133424,103,5,686,1,5,1530,0,206,1072,60342,3119,1,0,1240,1921,466,4,17,13,15630,1491,1,70,3,569,628,0,5,3939,2187,18690,0,100,32,100,2935,1220,15076,15,2,2699,1,21,12,11,11,3,13,13,5,23,301,235,14,39,0,38,123,20,12,0,2,5,12,0,0,12,2,38,10,80,23,116,403,0,105,59,20,0,2,612,92,149,6,5,0,2,15,21,1,0,1,11,0,1744,9,0,1,127,1,0,1,62,0,0,11,0,39,0,5,0,425,66,22,1,3,41,1,1,0,3,26,0,37,4,3,10,1,519,0,5,76,5,1,17,0,0,0,19,7,59,36,23,61,1,1,11,2,1,2463,1,1,0,386,7,13,35,0,7,4,0,9,19,106,3,5,0,1,0,2,1864,0,0,11634,186,168,7288,53,170,12,0,207,3534,0,6,10,474,302,15,1,1,4,136,0,0,4,1,5,0,0,5,48
