都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,エスワティニ,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2637251,2196170,3039,87,24471,31,836,14948,58,11210,25074,741656,58456,40,37,33271,51881,4069,140,598,179,452701,30181,41,2785,128,10003,10057,32,49,85321,15583,266803,26,673,678,2974,51003,5393,291494,94,70,77355,89,606,874,438,326,150,365,581,134,713,13248,7043,302,663,51,1171,4327,494,387,9,46,113,272,21,165,42,1382,432,1496,582,2318,8862,2,3217,1739,1147,41,163,17041,1824,3584,48,112,58,95,288,40,4,11,228,11,16304,229,24,45,659,15,4,23,437,10,2,92,14,455,8,50,23,2305,424,75,10,147,788,37,70,13,123,187,18,601,111,80,137,26,2964,18,104,688,54,18,247,6,4,5,452,39,583,629,918,1843,101,134,176,37,42,72583,30,20,9,10374,189,250,553,10,144,139,37,139,814,2744,89,56,4,5,7,127,56834,2,7,259715,2825,5858,196781,751,2405,228,15,2052,48266,7,110,417,14450,10386,275,24,16,46,3317,2,71,34,42,146,3,15,73,674
01,32943,27779,57,0,390,0,7,157,2,145,111,9623,1236,1,0,408,543,26,0,10,4,4474,622,1,11,0,235,247,0,5,747,229,1881,0,11,8,47,631,29,5880,0,1,2023,0,19,14,9,6,8,13,22,2,35,251,119,6,21,2,57,65,11,11,0,1,5,11,1,0,0,21,4,67,14,23,514,0,51,30,37,0,1,504,25,21,1,4,1,2,7,2,0,0,5,0,385,1,0,0,5,0,1,0,3,3,0,3,0,12,0,7,0,5,11,2,0,8,11,0,0,0,20,1,0,9,16,12,4,0,34,0,1,15,0,0,5,0,0,0,5,1,8,19,30,94,2,31,3,2,1,1674,2,0,0,328,4,8,3,0,3,3,0,3,20,37,2,1,0,0,0,1,1259,0,0,266,15,7,159,12,17,8,0,11,29,0,3,5,808,618,3,0,0,1,170,0,2,0,4,2,0,4,4,8
02,5368,4720,15,0,17,0,0,3,0,93,3,1298,88,0,0,27,133,1,0,0,0,768,76,0,4,0,58,14,0,0,100,62,633,0,0,0,4,99,5,1219,0,0,118,0,0,0,1,0,0,0,1,0,3,19,7,0,2,0,4,6,0,0,0,0,0,0,0,0,0,1,0,2,0,20,20,0,10,1,0,0,0,18,1,1,0,0,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,435,0,0,0,37,0,0,0,0,1,0,0,0,6,7,0,0,0,0,0,1,383,0,0,46,3,1,25,1,3,0,0,0,13,0,0,0,35,23,1,0,0,0,8,0,0,0,1,2,0,0,0,0
03,6724,6260,3,0,125,0,0,17,0,24,14,1902,90,0,0,44,216,1,0,0,0,768,92,0,5,0,15,52,0,0,82,50,1261,0,0,1,9,87,0,1402,0,0,117,0,0,1,0,0,0,0,0,0,4,9,14,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,4,0,6,12,0,7,2,3,1,0,40,4,3,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,1,0,0,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,6,4,0,0,0,0,0,225,0,0,0,30,0,1,0,0,1,0,0,1,2,5,0,0,0,0,0,0,185,0,0,49,4,0,33,1,3,1,0,3,4,0,0,0,46,33,0,0,0,0,10,0,0,0,0,3,0,0,0,0
04,20434,18126,17,0,243,0,65,198,0,41,178,5807,361,1,0,181,823,23,0,4,3,3306,278,3,4,0,97,121,0,3,1195,254,1338,0,1,11,23,307,45,3191,3,1,666,1,4,4,1,2,2,9,3,8,10,111,71,1,9,1,8,30,4,1,0,0,3,2,0,0,0,9,3,14,5,16,112,0,37,28,9,0,0,123,12,5,2,0,0,0,5,0,0,0,1,0,189,5,1,7,11,0,0,0,8,0,0,2,0,5,0,5,0,20,1,0,0,1,11,0,0,0,3,1,0,6,1,0,2,0,19,0,1,5,2,0,3,0,0,0,3,0,2,9,18,28,3,3,3,0,0,931,0,1,0,128,3,10,2,0,8,4,1,3,21,23,1,1,0,0,0,2,723,0,0,376,6,10,274,18,8,2,0,6,43,0,1,8,138,95,8,1,0,0,31,0,1,0,0,1,0,0,1,8
05,3901,3367,7,2,6,0,1,3,0,51,4,1091,53,1,0,26,69,5,0,0,0,538,53,0,3,0,52,40,0,0,79,24,789,0,0,0,4,97,1,368,0,0,171,0,0,0,1,1,1,3,8,1,5,16,14,1,2,0,5,6,0,1,0,0,1,0,0,0,0,2,7,3,1,7,26,0,5,2,1,0,0,43,4,2,0,0,0,0,1,0,0,0,1,0,31,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,2,1,0,0,265,1,1,0,24,0,0,0,0,0,1,0,0,1,7,0,0,0,1,0,3,226,0,0,13,1,0,7,1,1,0,0,0,3,0,0,0,52,24,9,0,0,0,14,0,3,0,0,2,0,0,0,2
06,6993,6464,1,0,45,0,0,20,4,31,2,2174,129,0,0,31,192,6,0,3,0,1552,36,0,5,0,34,48,0,0,57,52,815,0,2,1,5,156,5,1058,0,0,155,0,2,2,2,0,0,0,3,1,0,11,17,2,7,0,13,6,0,0,0,0,2,0,0,1,0,3,0,0,0,8,11,0,4,2,0,0,1,54,1,0,0,0,0,0,2,0,0,0,0,0,29,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,1,1,0,0,0,8,0,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1,0,0,0,199,1,0,0,32,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,159,0,0,104,0,15,74,1,0,1,0,2,10,0,0,1,41,25,0,0,0,0,15,0,0,0,0,0,0,0,1,1
07,13521,12417,29,0,289,0,47,74,1,87,76,3574,114,0,1,110,313,8,0,1,0,1414,222,0,9,0,35,50,0,0,505,137,2692,0,0,4,6,362,8,2244,5,0,290,0,2,0,2,5,0,1,0,1,0,14,19,0,6,0,11,8,2,0,0,0,0,0,0,0,0,6,1,5,1,9,50,0,15,0,3,0,0,98,21,8,0,0,0,0,1,1,0,0,0,0,59,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,18,0,0,4,0,0,1,0,0,0,2,0,4,1,6,7,0,0,2,0,0,371,1,0,0,73,1,0,4,0,1,0,0,0,12,12,0,0,0,0,0,2,265,0,0,292,5,2,224,1,5,2,0,7,40,0,0,6,91,52,7,0,0,0,31,0,0,0,0,1,0,0,0,1
08,63976,52889,225,0,376,3,3,589,6,872,2322,12499,1325,3,1,1190,3457,216,33,11,1,4340,323,1,283,6,210,270,0,0,1324,1450,10187,0,6,11,34,4671,30,6609,1,1,1342,0,5,10,10,13,5,8,6,3,6,152,94,12,21,0,22,47,24,28,0,0,6,10,1,4,0,27,8,26,6,38,216,0,42,10,14,5,31,221,47,120,1,5,8,9,8,1,0,1,11,0,580,7,1,1,27,0,0,1,15,0,0,0,0,22,0,3,0,55,21,2,1,1,33,8,6,0,1,4,0,24,7,1,5,1,92,0,4,11,3,0,10,0,0,0,10,0,29,38,15,106,1,7,3,0,4,1118,0,0,0,160,2,3,17,0,4,6,0,5,29,48,5,0,0,0,0,1,834,0,4,7831,50,105,5870,20,72,0,1,22,1670,0,1,20,200,127,22,0,0,1,37,0,4,1,4,1,0,1,2,16
09,41220,31630,64,0,331,0,0,447,0,343,1472,6859,1005,0,1,992,984,138,4,5,1,2447,201,0,21,0,177,129,0,0,2510,827,5605,0,12,9,15,1830,38,5162,0,1,454,1,5,2,0,1,0,1,3,5,4,40,35,0,4,0,9,13,5,5,0,0,0,5,0,1,0,7,1,10,8,37,65,0,10,6,5,1,1,135,9,18,1,0,0,0,0,0,0,0,1,0,226,0,0,1,13,0,0,0,21,0,0,0,0,4,0,3,1,27,20,1,0,1,9,0,0,0,4,1,0,10,2,0,11,0,40,1,2,9,2,0,0,0,0,0,3,1,7,9,11,6,0,4,2,0,0,654,0,0,0,71,4,2,16,0,3,3,0,4,15,32,0,0,0,0,0,2,502,0,0,8140,125,355,4275,11,46,0,0,93,3220,0,0,15,105,71,8,0,0,0,23,0,0,1,0,1,0,0,1,11
10,57072,37076,55,0,738,0,3,920,0,361,720,7264,505,0,0,650,1757,179,1,3,1,2233,317,0,21,4,132,279,1,0,3051,975,8036,0,1,5,15,1021,195,7627,5,1,509,1,3,2,7,1,0,3,1,0,0,36,22,1,5,1,16,17,1,0,0,0,1,5,0,3,2,2,0,14,3,90,74,0,16,4,8,0,0,119,10,34,0,3,0,2,1,0,0,0,1,0,230,3,1,0,63,0,0,0,4,0,0,0,0,7,0,0,0,24,21,0,0,2,8,0,0,0,0,11,0,6,0,0,2,0,23,0,0,1,1,0,0,0,0,0,5,0,22,6,5,9,0,0,6,0,0,691,0,0,0,86,5,1,15,0,1,1,6,1,7,33,1,1,0,0,0,1,532,0,0,18387,166,517,12628,41,49,3,0,199,4767,0,7,10,154,98,0,0,0,0,45,1,1,1,0,6,0,1,1,25
