都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,北マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,エスワティニ,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネービス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2829416,2369688,3248,121,28860,37,639,16030,52,13191,26229,786241,61960,44,32,37933,61051,4118,167,610,186,451543,28975,45,2882,144,10569,12012,31,53,92804,16968,277409,48,657,785,3132,53713,5222,371755,116,76,81024,84,631,980,472,346,152,417,617,144,757,13950,7301,320,729,54,1225,4654,552,415,9,51,117,305,1,28,166,48,1472,474,1606,681,2331,9109,1,3493,1735,1142,46,176,17734,1876,3665,52,122,63,95,304,53,4,11,242,12,17223,214,32,51,773,16,3,27,466,12,3,99,19,447,5,51,26,2369,427,90,11,157,778,41,65,17,125,190,18,637,110,75,133,22,3121,14,89,742,56,21,258,6,2,7,443,47,632,666,988,2080,107,151,198,43,43,74965,38,25,10,10751,211,258,610,19,141,146,38,147,895,2850,90,68,6,7,12,146,58484,4,9,270780,2975,5991,206886,902,2488,234,15,2150,48517,6,111,505,15096,10861,275,14,18,52,3486,4,69,34,36,159,3,14,71,640
01,37906,32473,70,0,640,0,9,185,2,218,126,10460,1462,0,0,600,738,27,0,11,2,4627,583,1,13,0,264,309,0,6,824,255,2053,0,14,8,47,709,25,8184,0,1,2102,0,17,13,12,6,7,9,19,1,37,268,127,5,21,2,61,73,10,10,0,1,4,10,0,1,0,1,23,13,61,10,25,534,0,56,32,36,0,0,512,25,22,0,4,2,2,15,8,0,0,7,0,429,3,0,0,6,0,1,0,6,3,1,3,0,11,0,6,0,8,12,3,0,7,11,0,0,0,11,2,0,12,15,8,4,0,45,0,1,18,0,0,5,0,0,0,5,2,9,22,36,105,3,37,6,2,0,1739,2,0,0,352,5,7,6,0,2,7,1,3,23,34,3,2,0,0,0,1,1290,1,0,325,28,8,169,19,19,7,0,13,37,0,3,22,828,638,2,0,0,1,171,0,2,0,4,3,0,4,3,10
02,6076,5377,16,0,26,0,0,3,0,121,3,1347,92,0,0,25,151,0,0,1,0,788,77,0,4,0,51,22,0,0,92,63,693,0,0,0,4,113,4,1681,0,0,147,0,0,0,1,0,0,0,3,0,5,28,6,0,3,0,6,12,0,0,0,0,0,0,0,0,0,0,1,0,3,0,18,20,0,9,1,1,0,0,25,1,3,0,0,0,0,1,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,423,0,0,0,40,0,0,0,0,1,0,0,0,6,8,0,0,0,0,0,1,367,0,0,69,6,1,38,1,3,0,0,0,20,0,0,0,44,26,2,0,0,0,13,0,0,0,1,2,0,0,0,0
03,7591,7071,3,0,204,0,0,22,0,35,19,1997,85,0,0,46,249,1,0,0,0,763,88,0,6,0,15,99,0,0,78,57,1378,0,0,2,9,101,0,1814,0,0,123,0,1,1,0,0,0,0,0,0,6,12,15,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,3,0,3,2,6,12,0,4,2,4,0,0,42,4,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,4,1,0,0,1,0,0,0,0,0,1,0,0,1,7,5,0,0,0,1,0,250,0,1,0,32,0,1,0,0,1,0,0,2,5,6,0,0,0,0,0,0,202,0,0,62,1,0,43,1,3,1,0,3,10,0,0,0,56,39,0,0,0,0,14,0,0,0,0,3,0,0,0,0
04,22408,20049,28,1,389,0,56,243,0,59,232,5871,383,1,0,282,948,26,1,3,4,3280,264,3,4,1,85,113,0,3,1403,347,1486,0,1,21,30,355,36,4086,3,1,708,1,2,5,0,5,4,6,6,10,10,117,67,0,9,2,16,41,4,1,0,0,3,2,0,0,0,0,17,2,14,8,16,110,0,41,20,10,0,0,130,13,7,1,0,0,1,7,0,0,0,0,0,175,5,0,8,6,0,0,0,3,0,0,1,0,2,0,6,0,12,1,0,0,1,8,0,3,0,3,1,0,4,0,0,3,0,25,0,1,4,0,0,7,0,0,0,3,0,3,8,20,29,2,4,2,0,0,975,0,1,0,148,5,7,2,0,8,4,1,2,22,25,1,1,0,0,0,2,746,0,0,349,10,8,253,14,11,3,0,6,37,0,0,7,147,105,8,1,0,0,29,0,1,0,0,2,0,0,1,5
05,4230,3656,11,3,20,0,0,4,0,61,43,1134,62,1,0,27,85,5,0,0,0,518,48,0,3,0,48,28,0,0,69,30,781,0,0,0,7,82,1,585,0,0,167,0,0,0,1,0,1,0,7,1,5,16,15,1,4,0,5,6,0,0,0,0,2,1,0,1,0,0,2,3,4,1,8,23,0,3,2,0,0,0,45,4,1,0,0,0,1,3,0,0,0,1,0,36,0,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,0,2,2,0,0,290,1,2,0,29,0,1,0,0,0,1,0,0,1,7,0,0,0,1,0,3,244,0,0,20,1,0,10,2,1,1,0,0,5,0,0,0,59,34,8,0,0,0,12,0,3,0,0,2,0,0,0,2
06,7618,7077,1,0,85,0,0,16,3,38,3,2263,130,0,0,35,228,4,0,3,0,1523,35,0,6,0,34,66,0,0,69,56,864,0,1,1,8,169,4,1432,0,0,151,0,3,1,2,0,0,0,2,1,0,10,16,2,7,0,12,7,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,11,0,1,1,1,0,1,56,0,0,0,0,0,0,2,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,1,0,0,0,5,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,0,1,1,2,1,0,1,1,0,0,207,1,0,0,35,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,166,0,0,120,2,11,85,3,0,1,1,2,14,0,0,1,32,17,1,0,0,0,13,0,0,0,0,0,0,0,1,1
07,14886,13716,32,0,332,0,46,97,1,64,92,3701,135,0,1,113,416,9,2,1,0,1396,213,0,6,0,37,57,0,0,508,140,2771,0,0,6,5,390,9,3135,1,0,318,0,2,0,2,5,0,6,1,1,0,14,24,0,7,0,12,11,0,0,0,0,0,0,0,0,0,0,6,1,4,1,9,44,0,9,0,2,0,0,102,18,32,0,0,0,2,2,1,0,0,0,0,66,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,22,0,0,5,0,1,1,0,0,0,2,0,5,0,5,7,0,0,4,0,0,393,1,0,0,75,1,0,5,0,1,0,0,0,12,14,0,1,0,0,0,2,281,0,0,291,7,2,215,2,5,2,0,8,40,0,0,10,101,64,7,0,0,0,25,0,4,0,0,1,0,0,0,1
08,67986,56887,265,0,455,3,4,676,1,920,2536,13183,1312,3,2,1331,3939,219,48,8,4,4297,313,2,301,6,214,317,0,0,1301,1591,10158,0,3,10,32,4852,36,8540,4,1,1338,0,5,9,13,11,6,9,5,4,10,164,94,13,14,0,18,44,26,29,0,0,4,9,0,1,4,0,30,9,33,9,35,219,0,57,12,13,5,24,223,46,93,1,3,6,7,8,1,0,2,10,0,597,5,1,0,34,0,0,0,9,0,0,1,0,16,0,5,0,55,19,2,1,2,31,10,0,1,1,6,0,21,5,2,8,1,85,0,3,15,3,0,12,0,0,0,11,0,25,38,18,133,4,6,4,0,4,1116,0,1,0,159,2,5,27,0,0,5,0,5,34,51,4,0,0,0,0,4,814,1,4,7846,50,108,5914,16,70,2,1,21,1640,0,1,23,188,127,14,0,0,1,36,0,3,0,3,1,0,1,2,14
09,42791,33126,71,0,383,0,2,486,0,361,1500,6875,1048,0,0,1052,1128,140,2,4,2,2382,201,0,28,0,166,170,1,0,2231,971,5441,0,11,13,14,1865,33,6544,1,0,473,1,6,2,1,2,0,3,3,3,6,39,44,0,4,0,7,14,5,3,0,0,0,5,0,0,1,0,7,1,11,2,40,65,0,7,5,2,2,0,143,12,22,1,0,0,0,3,0,0,0,1,0,230,1,0,0,19,0,0,0,23,1,0,0,0,3,0,1,1,25,24,1,0,0,7,1,0,0,4,1,0,7,2,0,10,0,37,1,2,9,1,0,2,0,0,0,3,1,8,8,13,9,0,0,4,1,0,688,1,2,0,75,4,2,16,1,2,3,0,4,20,31,0,0,0,0,0,1,526,0,0,8148,133,354,4273,10,50,0,0,94,3219,0,0,15,113,74,10,1,0,0,21,0,1,2,0,1,0,0,3,13
