総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,北マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,アンドラ,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,エスワティニ,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネービス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
2885904,2424534,3424,104,33303,32,498,16835,38,15656,27735,786830,59934,47,33,39764,66084,4117,161,608,197,435459,27695,39,2917,145,10153,12784,25,49,95367,18296,282023,41,509,900,3037,53344,5741,420415,121,74,78990,98,636,907,454,339,150,422,588,151,658,13345,6816,367,692,45,1221,4403,535,425,9,47,121,311,1,27,170,49,1356,434,1503,604,2298,9223,1,3524,1600,1106,42,199,17778,1903,3425,54,137,2,73,104,305,52,4,10,253,13,18239,223,33,60,977,17,3,27,497,13,3,106,13,445,3,50,26,2434,455,90,11,157,777,47,62,23,131,196,17,657,121,80,127,24,3262,23,89,859,61,21,279,5,2,7,443,46,704,794,1045,2129,125,137,215,49,39,73585,38,22,9,10549,213,255,637,16,146,156,36,149,981,2807,92,68,8,6,12,158,57214,4,9,275171,3011,6086,211178,908,2490,222,18,2161,48395,6,118,578,14738,10556,270,7,26,51,3432,3,54,40,35,174,4,14,72,647
40047,34380,81,0,911,1,9,194,2,298,129,10121,1408,0,0,737,934,28,0,12,2,4272,566,1,9,0,240,373,0,3,789,287,2310,0,10,7,54,692,37,9863,0,0,2257,0,18,16,8,6,7,21,31,2,37,268,119,5,18,4,65,78,12,10,0,1,9,9,0,1,1,1,29,16,65,9,28,527,0,50,28,35,2,1,611,23,28,1,7,0,0,7,24,9,0,1,9,0,405,2,0,0,5,0,1,0,9,2,1,1,0,7,0,6,0,7,14,2,0,7,14,0,0,0,8,1,0,13,15,8,0,0,53,2,1,14,0,0,7,0,0,0,5,1,10,16,26,97,3,39,6,2,0,1740,2,1,0,342,2,5,9,0,2,6,3,4,24,41,3,2,0,0,0,0,1293,1,0,379,66,6,160,33,19,7,1,13,51,0,3,20,877,683,2,0,0,1,175,0,2,0,5,2,0,4,3,9
6314,5654,21,0,36,0,0,8,0,143,0,1248,91,0,0,23,171,0,0,0,0,751,69,0,2,0,43,28,0,0,92,68,746,0,0,0,5,119,3,1987,0,0,142,0,0,0,0,0,0,0,4,0,1,28,9,0,0,1,3,11,0,0,0,0,0,0,0,0,0,0,1,0,4,0,16,16,0,10,1,1,0,0,30,1,3,0,1,0,0,0,1,0,0,0,0,0,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,414,0,0,0,28,0,0,0,0,1,0,0,0,7,8,0,1,0,0,0,1,368,0,0,53,4,1,30,0,3,0,0,1,14,0,0,0,33,19,1,0,0,0,8,0,0,0,1,4,0,0,0,1
8071,7542,3,0,279,0,0,43,0,57,17,1999,94,0,0,50,257,1,0,0,0,711,87,0,5,0,14,103,0,0,103,58,1426,0,0,3,10,107,3,2112,0,0,120,0,1,1,0,0,0,0,1,0,2,17,11,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,6,11,0,4,2,4,1,0,41,4,3,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1,6,5,0,0,0,0,0,246,0,0,0,34,0,0,0,0,1,0,0,2,5,6,0,0,0,0,0,0,198,0,0,90,3,0,71,1,3,1,0,3,8,0,0,0,47,31,0,0,0,0,14,0,0,0,0,2,0,0,0,0
23110,20874,29,1,542,0,47,263,0,56,211,5773,398,1,0,259,984,32,1,4,4,3128,255,3,3,0,69,133,0,3,1764,368,1493,0,2,25,23,359,30,4605,5,1,664,1,5,3,0,3,4,7,4,11,7,107,69,1,7,2,13,28,0,1,0,0,3,3,0,0,0,0,11,1,15,10,14,104,0,37,18,8,1,0,133,17,8,1,0,0,0,1,6,0,0,0,0,0,184,4,0,9,6,0,0,0,4,0,0,1,0,2,0,5,0,13,2,0,0,0,11,0,2,0,4,1,0,5,0,0,3,0,30,0,0,4,0,0,8,0,0,0,3,0,3,8,23,22,1,6,4,0,0,896,0,1,0,134,6,6,2,0,5,4,1,2,15,23,1,1,0,0,0,2,693,0,0,341,8,6,248,13,11,3,0,8,39,0,0,5,145,107,4,2,0,0,26,0,0,0,0,5,0,0,1,6
4366,3869,13,2,25,0,0,5,0,55,53,1075,51,0,0,26,106,6,0,2,0,494,47,0,3,0,37,37,0,0,74,28,819,0,0,0,5,75,1,830,0,0,136,0,0,2,1,1,1,0,3,0,0,16,10,1,4,0,6,3,0,1,0,0,0,0,0,0,0,0,0,1,4,1,6,24,0,4,0,1,0,0,39,4,1,0,0,0,0,0,1,0,0,0,1,0,38,0,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,5,1,1,2,0,0,0,245,1,2,0,27,0,0,0,0,0,1,0,0,0,5,0,0,0,1,0,3,205,0,0,26,3,0,14,1,1,1,0,0,5,0,0,1,50,27,4,0,0,0,10,0,7,0,0,2,0,0,0,2
8065,7522,1,0,94,0,0,29,1,47,5,2134,139,0,0,49,257,4,0,3,0,1481,35,0,5,0,29,69,0,0,105,57,895,0,0,1,6,197,4,1875,0,0,163,0,2,2,3,0,0,0,3,1,1,10,16,2,7,0,12,5,2,0,0,0,2,0,0,0,0,0,4,0,1,0,12,14,0,4,1,1,0,1,55,0,0,0,0,0,0,0,2,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,5,0,1,4,3,2,1,1,1,0,0,196,1,0,0,27,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,164,0,0,114,3,6,75,4,0,1,4,2,18,0,0,1,37,22,1,0,0,0,13,0,0,0,0,0,0,0,1,1
15411,14271,24,0,359,0,37,86,1,97,99,3699,128,0,1,130,540,11,1,1,0,1365,198,0,16,0,40,82,0,0,500,125,2743,0,0,9,6,391,9,3573,0,0,309,0,2,0,2,4,0,1,1,1,1,12,14,0,7,0,9,10,0,0,0,0,0,0,0,0,0,0,6,1,4,1,6,39,0,11,0,2,0,1,109,17,40,0,0,0,0,3,2,1,0,0,2,0,74,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,2,2,0,0,1,0,0,0,25,0,0,5,0,0,1,0,0,0,2,0,5,0,6,7,1,0,4,0,0,390,1,0,0,75,1,0,6,0,1,0,0,0,14,11,0,0,0,0,0,2,279,0,0,275,5,6,194,1,6,3,0,6,41,0,0,13,91,53,8,0,0,0,24,0,5,0,0,1,0,0,0,1
70806,59485,275,0,664,3,10,782,1,1182,2894,12922,1345,3,2,1521,4226,199,43,10,6,4224,304,2,322,5,198,399,0,0,1260,1793,9939,0,11,14,34,4836,33,10019,3,1,1261,0,4,9,12,10,5,13,6,3,5,153,77,10,15,0,18,46,21,23,0,0,1,7,0,1,4,0,25,8,33,7,33,218,0,57,11,14,2,27,217,45,81,1,7,0,8,5,8,2,0,1,8,0,561,9,1,4,35,0,0,0,7,0,0,1,0,14,0,5,0,57,16,2,0,1,30,9,0,0,2,6,0,17,7,2,7,1,87,0,2,15,2,0,12,0,0,0,3,0,23,39,18,112,2,4,4,1,4,1142,0,1,0,154,4,7,27,0,3,5,0,5,47,49,7,2,0,1,0,5,820,1,4,8159,49,112,6220,16,63,1,1,23,1627,0,1,46,186,122,14,0,0,1,37,0,4,2,2,1,0,1,2,12
44074,34413,74,0,396,0,19,535,0,621,1790,6861,992,0,0,1068,1252,140,1,4,1,2297,186,0,30,0,157,198,1,0,1890,1198,5057,0,7,12,13,1870,30,7707,6,0,483,1,5,2,1,2,0,0,3,2,3,39,40,0,3,0,8,13,5,3,0,0,0,5,0,0,1,0,5,0,12,2,39,68,0,11,11,2,2,2,144,11,28,1,0,0,0,0,8,0,0,0,1,0,241,1,0,0,25,0,0,0,21,1,0,0,0,8,0,1,1,17,23,1,0,0,8,0,0,0,4,3,0,11,2,0,9,0,41,0,3,11,0,0,3,0,0,0,5,1,9,6,14,10,0,0,2,0,0,651,1,1,0,62,3,3,15,1,2,4,0,4,24,40,0,0,0,0,0,1,490,0,0,8165,130,362,4289,18,54,3,0,93,3201,0,0,15,108,73,9,0,0,0,19,0,1,2,0,1,0,0,3,13
