id,total,change
,2174469,111562
010006,24999,2097
020001,4207,226
030007,5863,241
040002,17379,1425
050008,3579,-12
060003,6051,29
070009,10845,798
080004,52991,2330
090000,33545,2278
100005,44795,2484
110001,136523,9804
120006,120229,8840
130001,449042,31600
140007,174427,8421
150002,13813,640
160008,13697,618
170003,11348,682
180009,11966,627
190004,13769,366
200000,30452,646
210005,44140,660
220001,72689,1373
230006,201712,9058
240001,41630,359
250007,23839,280
260002,52976,1368
270008,207338,5883
280003,97044,1877
290009,10854,61
300004,5982,155
310000,3891,94
320005,6281,574
330001,22148,1063
340006,42223,3057
350001,13746,657
360007,4951,11
370002,9662,809
380008,10124,936
390003,3668,162
400009,59697,2772
410004,4543,243
420000,10564,2542
430005,10606,710
440001,10401,324
450006,4533,222
460001,7132,497
470007,12575,1675
