id,total,change
,125209603,-374055
010006,5307813,-34805
020001,1303668,-15681
030007,1257779,-13324
040002,2291981,-8491
050008,1011297,-14262
060003,1100338,-11900
070009,1906896,-19855
080004,2889169,-14446
090000,1946895,-8981
100005,1937076,-12678
110001,7198829,4247
120006,6155641,2764
130001,13115844,72137
140007,8972770,3240
150002,2265730,-20752
160008,1052868,-7063
170003,1136795,-4550
180009,777330,-4900
190004,823733,-6529
200000,2081175,-13582
210005,2005181,-14310
220001,3660340,-19926
230006,7316520,1507
240001,1786598,-11710
250007,1393088,-2129
260002,2506201,-8804
270008,8631175,-15205
280003,5485652,-20813
290009,1359935,-8965
300004,968748,-9792
310000,566495,-4678
320005,683536,-6067
330001,1895025,-8754
340006,2800530,-11561
350001,1380790,-13252
360007,751819,-7025
370002,981673,-5473
380008,1382748,-11665
390003,721032,-7584
400009,5059737,-2439
410004,827606,-5228
420000,1369146,-12648
430005,1775773,-10878
440001,1157282,-8616
450006,1106309,-8243
460001,1646915,-13300
470007,1456122,2914
