prefecture_id,総数,教授,芸術,宗教,報道,投資・経営,法律・会計業務,医療,研究,教育,技術,人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
,2066445,7735,432,4570,219,13439,149,534,1910,10076,43038,72319,15218,1662,33425,3683,57997,2788,90738,2379,193073,1501,122155,22673,655315,151156,24649,160391,373221
01,22629,249,6,207,0,152,0,31,3,385,180,847,132,26,644,38,1940,35,2484,73,3055,16,1452,766,4499,1438,81,359,3531
02,3975,19,0,19,0,17,0,4,10,137,9,96,9,10,81,9,316,20,441,12,280,2,143,26,1043,408,21,105,738
03,5505,20,0,37,0,16,0,0,4,104,30,74,16,8,45,28,591,10,832,12,307,3,153,29,1817,494,18,171,686
04,15247,377,0,190,0,73,0,5,11,227,136,470,57,16,179,83,645,0,509,35,2899,11,940,69,4653,1100,98,372,2092
05,3714,56,1,6,0,8,0,2,0,106,20,74,9,6,66,14,256,7,472,7,397,7,133,10,1234,284,10,86,443
06,6182,20,0,8,0,18,0,10,0,91,33,71,13,2,77,29,400,6,697,5,256,11,139,21,3196,548,26,177,328
07,9726,43,0,10,0,27,0,1,0,202,76,194,25,4,166,37,525,17,697,1,409,6,228,41,4264,1037,75,528,1113
08,51107,178,5,57,0,336,0,4,500,302,677,928,240,14,772,50,3625,40,5835,114,2928,84,2581,561,16464,4964,623,6565,2660
09,30727,14,5,38,0,155,0,0,13,160,471,615,307,13,344,119,1122,53,1782,5,1489,10,1103,602,13046,3001,421,4173,1666
10,42171,23,0,40,0,174,0,2,3,241,675,659,80,45,436,169,1546,20,2259,7,1292,10,1304,507,18196,4085,654,7985,1759
11,123294,209,21,151,3,1062,0,34,281,430,3566,5215,567,19,2185,114,2200,64,3232,89,10686,119,9499,1443,48289,11240,2158,11016,9402
12,108848,368,22,169,3,948,0,35,56,358,3344,4757,984,147,1852,46,2654,2,3692,78,9680,37,8272,1074,40123,11175,1661,8999,8312
13,407067,1850,208,1128,200,6248,144,101,376,1353,15070,29302,5948,282,11707,56,981,12,1155,608,64009,128,42578,8530,115785,28333,4785,19565,46625
14,165573,348,17,193,2,962,2,78,224,596,7487,5893,2510,121,3300,84,1131,46,1490,164,10908,124,12743,1290,67362,14104,2750,12179,19465
15,13256,80,1,22,0,71,0,1,6,135,165,337,47,14,151,85,580,38,1013,13,1702,4,745,81,4673,1357,79,628,1228
16,13361,38,1,13,0,95,0,2,5,120,108,386,45,12,135,50,1134,72,1894,9,618,19,625,43,4415,1062,156,1359,945
17,10773,147,2,20,0,15,0,1,1,107,96,219,17,22,133,28,891,27,1646,23,1702,5,520,32,2421,637,48,487,1526
18,11689,29,0,12,0,10,0,1,2,101,55,124,17,5,48,46,990,47,1743,9,296,23,197,19,3556,827,83,1042,2407
19,13996,28,1,26,0,92,0,0,2,123,148,299,22,13,482,38,286,11,436,10,1003,10,752,53,6272,1428,146,1708,607
20,31003,41,4,83,0,84,0,11,11,175,218,449,48,10,438,116,1032,9,1792,10,1182,9,833,381,12740,4199,416,4105,2607
