prefecture_id,総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
,2232189,7651,433,4397,231,297,1144,51,16,18109,142,1015,1644,10670,137706,15465,1869,37202,4815,87070,2684,98086,2582,246679,1521,133589,37175,700500,140349,28939,161532,348626
01,25692,274,6,198,0,9,5,2,0,227,0,43,7,392,1424,142,34,869,14,2636,11,2750,77,3512,16,1653,1435,4825,1430,84,306,3311
02,4245,15,0,14,0,2,1,0,0,22,0,3,12,138,121,11,8,84,10,430,19,536,9,338,0,170,37,1120,351,24,122,648
03,5902,20,1,32,0,0,0,0,0,21,0,0,3,105,114,12,3,71,47,825,9,1013,4,336,3,138,44,1867,445,19,150,620
04,17708,334,0,152,0,8,2,0,0,86,0,10,7,212,671,54,14,191,10,1062,0,1066,64,4165,6,1118,103,4888,1027,112,385,1961
05,3616,52,1,7,0,2,1,0,0,13,0,0,0,105,86,10,5,45,4,264,12,408,9,434,3,125,17,1269,237,17,80,410
06,6160,21,0,17,0,1,0,0,0,22,0,14,0,89,119,21,4,77,58,569,21,567,12,258,13,172,27,3145,454,20,157,302
07,11052,40,0,13,0,4,1,0,0,28,0,1,12,198,384,46,14,188,60,959,9,1030,2,615,15,307,87,4300,1036,75,531,1097
08,54095,182,1,65,0,34,5,0,0,463,0,3,388,326,1803,293,24,791,66,4805,13,5324,136,3861,87,2841,1287,17952,4230,710,5953,2452
09,34402,18,5,31,0,0,1,0,0,212,0,2,8,178,1456,361,23,344,97,1777,47,1972,3,2581,9,1362,1740,13446,2657,534,3985,1553
10,46401,26,0,55,0,0,2,0,0,230,0,5,3,254,1726,87,14,487,157,2568,29,2568,7,1697,15,1646,1338,19470,3522,877,7969,1649
11,139656,216,21,144,4,20,72,0,1,1764,0,86,213,408,10304,610,22,2545,100,4098,55,3768,94,14119,88,11321,2760,54201,10041,2645,10887,9049
12,122479,373,19,157,2,9,80,0,0,1373,3,77,55,380,9674,942,162,2057,95,4375,5,4117,79,14094,38,9455,1781,43768,10201,2066,9143,7899
13,462732,1831,224,1129,204,60,638,43,7,7914,136,173,379,1736,52986,5843,316,12939,71,2525,10,1853,693,87425,182,46346,11146,127326,27234,5709,20570,45084
14,180069,354,22,202,6,25,205,3,3,1372,2,129,236,666,15761,2534,140,3561,184,2524,73,2107,189,13215,89,14540,2462,72175,13000,3398,12591,18301
15,14064,68,0,18,0,1,0,0,0,85,0,0,6,125,541,65,14,169,92,862,24,970,18,2074,4,744,202,4829,1261,98,663,1131
16,13972,35,2,11,0,4,2,0,0,101,0,3,6,117,556,51,12,144,111,1525,29,1835,9,631,18,679,106,4820,923,184,1243,815
17,11542,127,2,14,0,2,2,0,0,21,0,4,1,108,362,17,27,169,42,1284,32,1568,31,1773,1,599,73,2653,593,74,616,1347
18,12307,27,0,10,0,1,1,0,0,16,0,0,2,110,174,26,6,68,55,1120,53,1596,11,321,25,194,17,3804,798,92,1662,2118
19,14228,33,0,32,1,0,4,0,0,119,0,4,1,112,496,21,11,467,118,411,7,481,10,1086,11,803,108,6268,1244,199,1631,550
20,31453,46,3,70,0,2,1,0,0,105,0,17,4,198,694,49,25,396,170,1609,9,1795,16,1454,24,845,738,12984,3711,442,3689,2357
21,45923,40,3,36,0,0,3,0,0,87,0,4,3,155,939,96,16,477,121,4040,131,5715,28,1521,28,1136,289,17507,2696,692,6078,4082
22,76081,68,2,57,0,3,6,0,0,136,0,15,15,312,2137,408,33,628,749,3149,113,3535,24,2669,104,1866,463,35633,5818,1370,13211,3557
23,209351,553,25,331,1,17,30,1,0,552,0,21,40,310,8079,1255,78,2685,428,9173,290,11565,114,9878,217,9100,3048,80572,12978,3500,26100,28410
24,43031,18,6,21,0,2,6,0,0,81,0,1,4,145,1100,131,2,329,168,2757,171,3978,15,970,21,1141,362,17143,2556,649,6829,4425
25,24617,56,1,20,0,0,3,0,0,30,0,2,5,149,538,65,5,204,115,1311,21,1607,29,921,24,508,52,8735,1861,324,3778,4253
26,53575,656,22,89,3,27,12,1,0,183,0,108,26,231,1825,102,34,398,55,882,29,910,193,9613,17,1898,651,7945,2061,266,1065,24273
27,210148,545,25,312,7,15,30,0,5,1292,1,130,69,568,10471,636,185,1595,156,3224,48,3615,143,19886,136,7351,2556,45714,9076,2221,9125,91011
28,98625,238,6,356,0,4,12,1,0,448,0,40,76,573,3191,339,76,864,217,2701,44,3007,87,7953,26,3888,569,23412,4069,892,4121,41415
29,11085,40,2,49,1,1,2,0,0,34,0,10,9,67,365,22,13,131,15,574,9,743,31,877,3,435,88,3079,733,78,430,3244
30,6069,10,0,10,1,0,0,0,0,18,0,28,3,71,152,17,3,85,17,299,10,379,6,370,5,98,50,1570,557,31,330,1949
31,3965,28,0,4,0,0,0,0,0,13,0,2,2,76,109,4,5,36,22,421,5,621,6,216,7,150,13,953,233,16,105,918
32,6600,28,0,1,0,0,0,0,0,6,0,1,1,89,102,9,4,46,18,557,12,765,11,264,2,140,21,1855,719,38,1265,646
33,22439,67,2,17,0,1,1,0,0,81,0,12,9,158,761,32,30,187,206,2337,255,2648,47,3300,14,797,222,4583,1155,127,614,4776
34,42899,168,1,55,0,4,2,0,0,83,0,10,6,210,1437,189,71,328,236,4599,427,5430,34,3649,59,1822,464,11655,1726,428,1940,7866
35,13875,28,0,33,0,0,1,0,0,29,0,2,1,76,293,28,15,114,48,1242,12,1262,23,1304,6,379,67,2228,549,60,244,5831
36,5012,38,0,4,0,1,0,0,0,10,0,4,2,89,108,13,7,72,7,837,1,1278,4,279,2,237,162,1112,340,35,168,202
37,9785,20,2,13,0,0,0,0,0,21,0,1,3,67,283,53,10,113,258,1543,241,1716,15,539,12,256,301,2356,541,97,601,723
38,10279,47,1,5,0,0,1,0,0,21,0,0,1,104,415,91,11,107,152,2087,226,2188,10,665,11,407,244,1672,539,49,207,1018
39,3728,19,0,4,0,1,0,0,0,6,0,3,1,102,71,20,8,53,0,382,0,537,8,607,4,86,34,893,295,14,96,484
40,60417,383,17,293,0,16,9,0,0,540,0,25,12,322,3120,250,131,627,109,2458,3,2273,117,15945,40,3958,579,11865,2844,349,1277,12855
41,4605,25,2,12,0,1,0,0,0,16,0,4,2,61,144,7,14,60,18,635,15,766,21,663,3,203,40,970,255,12,102,554
42,10979,54,1,32,0,1,1,0,0,33,0,2,0,183,568,301,70,1786,53,1013,69,1114,18,1886,44,399,211,1715,546,41,159,679
43,10767,68,1,19,0,0,0,0,0,36,0,10,0,142,388,46,53,187,50,1547,64,1797,28,1135,38,523,113,2869,762,74,291,526
44,10573,68,1,41,0,1,1,0,0,47,0,2,2,89,347,24,19,83,10,948,11,1013,13,3646,0,393,116,1674,456,47,199,1322
45,4616,27,0,18,0,2,0,0,0,23,0,0,1,84,142,4,12,68,0,715,0,892,6,506,6,207,14,1082,339,17,92,359
46,7222,36,0,34,0,1,1,0,0,23,0,2,3,121,204,10,13,111,16,1093,10,1205,13,683,8,256,37,2240,585,26,263,228
47,12925,219,5,159,0,15,0,0,0,66,0,2,2,143,929,95,39,150,2,299,0,201,34,2710,17,813,243,4308,1569,101,471,333
未定・不詳,1223,12,1,1,1,0,0,0,0,0,0,0,3,16,36,23,34,16,8,19,0,2,31,35,20,84,658,50,96,6,38,33
