prefecture_id,総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,介護,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,技能実習３号イ,技能実習３号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
,2637251,7484,447,4361,231,1448,7573,310,236,25099,150,1966,1534,11769,212403,17176,177,2275,39221,5255,121736,3454,153745,31,1555,2936,324245,1522,174130,64545,759139,142439,36562,185907,326190
01,32943,283,7,171,0,37,31,8,1,351,0,60,10,445,2497,166,12,42,1019,16,4417,20,5179,0,96,108,4139,16,1944,1295,5343,1633,105,368,3124
02,5368,14,0,28,0,8,3,0,0,21,0,1,12,144,225,23,0,4,65,13,732,26,1001,0,24,8,414,1,183,175,1144,340,19,141,599
03,6724,12,1,34,0,2,2,1,0,29,0,0,0,121,218,19,2,6,62,32,1068,27,1475,0,7,4,338,4,164,118,1866,387,23,131,571
04,20434,223,0,162,0,64,22,0,1,114,0,12,13,235,1133,115,0,18,247,18,1461,0,1887,0,36,51,4516,6,1346,213,5172,989,101,436,1843
05,3901,49,1,6,0,3,0,0,1,23,0,0,0,112,104,11,1,4,71,8,358,21,547,0,5,2,427,4,147,30,1294,200,15,80,377
06,6993,23,0,14,0,4,7,1,0,25,0,16,0,117,253,59,0,5,68,40,779,37,931,0,5,11,310,13,168,52,3159,410,29,188,269
07,13521,30,0,11,0,15,6,0,1,45,0,1,12,201,647,85,0,11,189,134,1384,27,1824,0,22,6,818,9,464,372,4395,1108,93,611,1000
08,63976,178,0,58,0,159,71,3,2,645,0,9,333,442,2906,354,1,12,912,68,5915,40,7510,0,38,159,4521,96,3870,2844,19027,4043,953,6526,2281
09,41220,19,5,42,1,3,28,0,0,306,0,7,4,210,2414,421,2,17,390,161,2974,41,3244,0,28,7,3476,15,2083,2841,13818,2477,707,4025,1454
10,57072,27,0,62,1,7,18,1,0,318,0,4,3,314,3323,115,2,10,581,159,3945,36,4017,0,40,5,2984,19,2725,3195,20275,3440,1142,8773,1531
