prefecture_id,総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,介護,興行,技能,特定技能１号,特定技能２号,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,技能実習３号イ,技能実習３号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
,2829416,7401,469,4266,217,1768,10355,473,442,26148,153,2298,1519,12769,256414,18141,499,2477,40361,20,0,5749,162718,3766,180289,440,14747,2934,336847,1300,191017,61675,783513,143246,39537,197599,317849
01,37906,280,8,155,0,46,40,8,7,395,0,64,8,494,3204,192,17,34,1236,0,0,22,5622,26,6326,17,546,121,4638,21,2105,1429,5610,1662,123,387,3063
02,6076,17,0,25,0,7,0,0,1,23,0,2,18,157,305,27,0,4,51,0,0,11,994,25,1145,20,116,5,433,1,206,188,1187,335,21,156,596
03,7591,12,0,36,0,2,1,1,0,31,0,1,1,122,264,13,2,6,51,0,0,61,1464,14,1662,0,129,8,381,4,161,151,1886,403,26,149,549
04,22408,232,0,214,0,66,16,0,1,132,0,7,13,252,1313,130,0,20,253,0,0,22,1932,0,2239,0,239,55,5096,15,1381,234,5249,993,108,408,1788
05,4230,49,1,8,0,3,0,0,1,22,0,1,0,140,151,15,1,2,55,0,0,8,489,12,623,0,61,2,460,1,143,34,1278,211,19,85,355
06,7618,22,0,10,0,3,11,1,0,31,0,14,1,123,340,51,0,8,83,0,0,37,1010,29,1112,6,101,11,344,9,192,61,3162,386,35,170,255
07,14886,28,0,11,0,11,5,0,0,54,0,0,13,223,914,76,0,16,179,0,0,128,1907,48,2183,0,198,8,887,3,503,343,4385,1133,110,552,968
08,67986,184,0,72,0,187,105,6,6,682,0,11,299,478,3717,400,8,19,940,0,0,179,7244,41,8426,7,346,157,4464,88,4340,2418,19368,3914,1048,6605,2227
09,42791,24,3,49,1,4,27,2,0,315,0,6,5,220,2965,452,3,17,393,0,0,108,3100,29,4033,2,244,6,3342,22,2326,2431,13977,2433,723,4125,1404
10,60168,21,0,65,0,6,24,1,0,311,0,8,2,322,3738,132,15,18,553,0,0,183,4817,38,4946,0,313,8,3088,18,3103,2563,20555,3432,1273,9124,1491
11,189043,235,23,176,2,56,572,8,26,2670,1,207,221,579,19359,693,40,50,3299,0,0,158,8080,80,8915,8,851,89,21721,28,18412,5114,62179,10125,4069,12396,8601
12,162588,357,17,138,3,74,593,10,36,2098,3,262,57,493,18333,944,63,213,2646,0,0,167,7727,66,8604,4,681,95,19195,18,14836,3674,50293,10166,3058,10228,7436
