総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,介護,興行,技能,特定技能１号,特定技能２号,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,技能実習３号イ,技能実習３号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
2885904,6885,474,3954,220,1950,13023,629,684,27119,145,2512,1425,13083,288995,16592,1324,2011,40931,5950,0,3632,129084,4368,232316,706,32316,2114,280273,483,200299,72440,800872,143759,42207,203847,309282
40047,256,7,155,0,53,52,6,8,408,0,70,6,490,3831,174,30,34,1430,287,0,21,4347,34,7842,14,1113,86,3932,3,2111,2146,5813,1749,155,407,2977
6314,21,0,22,0,10,1,0,2,22,0,4,17,150,351,20,0,3,53,33,0,9,795,21,1475,20,193,10,372,0,217,240,1183,334,24,149,563
8071,15,0,33,0,3,4,1,0,28,0,0,2,115,327,10,5,9,58,11,0,45,1055,26,2264,2,247,4,367,0,179,244,1894,427,30,142,524
23110,234,0,179,0,85,19,2,1,139,0,6,12,240,1505,102,4,17,255,35,0,4,1536,6,2868,0,405,47,5051,0,1368,438,5312,969,107,411,1753
4366,44,1,10,0,5,0,0,1,19,0,1,0,142,174,18,1,1,50,1,0,3,466,17,788,0,126,1,297,0,162,70,1285,213,23,95,352
8065,21,0,16,0,3,13,1,0,33,0,14,1,123,391,29,1,4,83,7,0,33,854,26,1471,17,204,5,332,5,213,134,3146,400,40,194,251
15411,21,0,10,0,11,10,0,0,52,0,0,14,224,1027,63,1,6,175,31,0,60,1481,47,2855,1,357,3,864,2,525,405,4360,1156,116,596,938
70806,184,1,61,0,216,140,7,8,734,0,11,291,485,4508,422,28,15,929,299,0,137,5345,78,10375,21,948,114,3631,59,4592,3379,19549,3952,1115,6973,2199
44074,31,2,57,1,3,51,1,0,331,0,7,5,224,3532,346,7,59,380,113,0,70,2541,57,4759,2,551,8,2915,1,2476,2873,13965,2453,770,4107,1376
62539,24,0,66,0,6,26,1,0,310,0,9,0,317,4304,138,30,5,518,208,0,81,3523,40,6444,2,747,4,3031,9,3325,2780,20655,3451,1382,9639,1464
196537,204,21,167,7,64,740,10,40,2811,2,212,222,614,22263,699,65,36,3329,314,0,49,6745,116,11555,24,1906,79,18151,4,19629,6594,63636,10347,4487,12917,8478
167220,333,14,142,5,86,742,12,50,2197,3,282,59,518,20825,1029,129,176,2779,497,0,107,6216,75,10772,9,1561,64,15230,8,15871,4463,51460,10230,3315,10634,7327
568665,1815,255,903,194,458,7734,423,335,9879,132,565,333,2078,94833,5427,154,355,13974,448,0,103,4738,72,6784,6,1127,563,87982,49,62623,13670,152427,27184,7793,21474,41775
